NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11542,2012.08.10_17:12:00_TAI,1,C,0.065900005,-0.237758196,0.123674788,1.23982091,1.950068566,-0.027319893,-0.120538281,-0.371552288,0.812828666,-0.248341015
11542,2012.08.10_17:48:00_TAI,1,C,0.050905408,-0.243048131,0.10068262,1.249819866,1.981904816,-0.024859632,-0.115855744,-0.395393747,0.839577743,-0.272200887
11542,2012.08.10_18:24:00_TAI,1,C,0.012522413,-0.246114238,0.055706653,1.202275772,1.954263441,-0.043878611,-0.11814157,-0.383495348,0.827917889,-0.284781547
11542,2012.08.10_19:00:00_TAI,1,C,0.004821113,-0.25048692,0.006081492,1.212248815,1.875602587,-0.067998752,-0.113347318,-0.297761073,0.838891869,-0.409534593
11542,2012.08.10_19:36:00_TAI,1,C,-0.00591998,-0.257713571,-0.045821414,1.158137469,1.68592027,-0.105786819,-0.111775307,-0.194215903,0.82997551,-0.381274588
11542,2012.08.10_20:12:00_TAI,1,C,-0.031701249,-0.264212447,-0.085840138,1.097347811,1.586303872,-0.129202297,-0.105779115,-0.129619607,0.810771045,-0.375325114
11542,2012.08.10_20:48:00_TAI,1,C,-0.023419926,-0.269063402,-0.082916325,1.06184985,1.623987374,-0.134117625,-0.114828959,-0.124009293,0.864955072,-0.44052144
11542,2012.08.10_21:24:00_TAI,1,C,-0.033440584,-0.264150735,-0.062500466,1.043447476,1.443047685,-0.098613221,-0.110419863,-0.222108543,0.853295218,-0.426577359
11542,2012.08.10_22:00:00_TAI,1,C,-0.035582774,-0.260566337,-0.026245483,0.997702527,1.472332515,-0.07855658,-0.107670808,-0.317143691,0.814200414,-0.330394186
11542,2012.08.10_22:36:00_TAI,1,C,-0.045043993,-0.269368349,-0.027083893,0.944805419,1.447955253,-0.065081412,-0.102022888,-0.382006296,0.815572161,-0.386108536
11542,2012.08.10_23:12:00_TAI,1,C,-0.065818976,-0.280079116,-0.071636862,0.923200861,1.298693218,-0.076005134,-0.104582533,-0.389659424,0.784021969,-0.461964338
11542,2012.08.10_23:48:00_TAI,1,C,-0.087166632,-0.284600775,-0.095325555,0.898764315,1.304592013,-0.096016182,-0.100545847,-0.360071289,0.757272892,-0.48061842
11542,2012.08.11_00:24:00_TAI,1,C,-0.090883486,-0.284781815,-0.10057112,0.842083818,1.274185114,-0.109328602,-0.097763978,-0.337374414,0.760016387,-0.490968027
11542,2012.08.11_01:00:00_TAI,1,C,-0.095809642,-0.288249538,-0.105946051,0.858057715,1.391067706,-0.114957251,-0.093964828,-0.343629239,0.784707843,-0.514703951
11542,2012.08.11_01:36:00_TAI,1,C,-0.090058662,-0.290538693,-0.089345907,0.84781443,1.35160495,-0.123095216,-0.09722079,-0.342813444,0.76961862,-0.469958944
11542,2012.08.11_02:12:00_TAI,1,C,-0.10984268,-0.293027208,-0.099383309,0.804031514,1.358019185,-0.12734224,-0.093550328,-0.34989333,0.729837942,-0.447028678
11542,2012.08.11_02:48:00_TAI,1,C,-0.126667035,-0.294993577,-0.113989857,0.773753296,1.256695893,-0.127403992,-0.090075537,-0.371076209,0.794310075,-0.479812762
11542,2012.08.11_03:24:00_TAI,1,C,-0.156681961,-0.303409644,-0.155365972,0.70176155,1.05948421,-0.148737798,-0.090092434,-0.368188142,0.738754301,-0.418644726
11542,2012.08.11_04:00:00_TAI,1,C,-0.136927348,-0.30073141,-0.122219935,0.74102439,1.145335429,-0.143895764,-0.081774285,-0.387277369,0.718863962,-0.414678409
11542,2012.08.11_04:36:00_TAI,1,C,-0.144193446,-0.301723876,-0.108952567,0.606673361,0.894378392,-0.144251847,-0.077148624,-0.39984356,0.779906726,-0.374829324
11542,2012.08.11_05:12:00_TAI,1,C,-0.13126679,-0.304465992,-0.092375186,0.611593248,1.025204584,-0.159538594,-0.070576129,-0.367229333,0.788137211,-0.348490504
11542,2012.08.11_05:48:00_TAI,1,C,-0.122018761,-0.313600915,-0.115045647,0.670295008,1.007363477,-0.196494454,-0.079106695,-0.286634282,0.80254056,-0.353944189
11542,2012.08.11_06:24:00_TAI,1,C,-0.159997431,-0.332255262,-0.190651282,0.59565637,0.984983539,-0.252718609,-0.087559417,-0.172187058,0.708575856,-0.448516046
11542,2012.08.11_07:00:00_TAI,1,C,-0.187960588,-0.342017678,-0.213144957,0.63767716,0.9432251,-0.270774953,-0.084893638,-0.181013752,0.700345371,-0.393359459
11542,2012.08.11_07:36:00_TAI,1,C,-0.200376323,-0.343856041,-0.222286663,0.617675545,0.914793717,-0.27282142,-0.083354894,-0.207846856,0.679769158,-0.410650119
11542,2012.08.11_08:12:00_TAI,1,C,-0.217128635,-0.352466407,-0.225331876,0.569913036,0.907982,-0.268579013,-0.094753625,-0.304636653,0.712005225,-0.428064727
11542,2012.08.11_08:48:00_TAI,1,C,-0.222956069,-0.35474833,-0.198845699,0.492742267,0.848994042,-0.255797543,-0.092114474,-0.398496809,0.67633979,-0.405568276
11542,2012.08.11_09:24:00_TAI,1,C,-0.20356829,-0.353297358,-0.154848889,0.46634369,0.815511362,-0.242901226,-0.109048202,-0.454945606,0.664679936,-0.341921293
11542,2012.08.11_10:00:00_TAI,1,C,-0.180852544,-0.349765754,-0.111618408,0.454597415,0.947745098,-0.23631629,-0.102667457,-0.464896692,0.707204108,-0.321098131
11542,2012.08.11_10:36:00_TAI,1,C,-0.20249793,-0.354083472,-0.158369074,0.472052091,0.887985964,-0.262112964,-0.083853577,-0.386141813,0.692114886,-0.398565249
11542,2012.08.11_11:12:00_TAI,1,C,-0.195349454,-0.358283068,-0.182096084,0.419458542,0.691455255,-0.29770105,-0.083277425,-0.299023013,0.664679936,-0.332625239
11542,2012.08.11_11:48:00_TAI,1,C,-0.246984036,-0.367366886,-0.226756035,0.453446109,0.788348751,-0.322383248,-0.089147494,-0.278080074,0.710633477,-0.339752213
