Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.05,Accuracy,0.23809523809523808,0.23809523809523808
0.05,Recall,0.0,1.0
0.05,Precision,0.0,0.23809523809523808
0.05,TSS,0.0,0.0
0.05,HSS,0.0,0.0
0.05,FAR,0.0,0.7619047619047619
0.05,FPR,0.0,1.0
0.1,Accuracy,0.23809523809523808,0.23809523809523808
0.1,Recall,0.0,1.0
0.1,Precision,0.0,0.23809523809523808
0.1,TSS,0.0,0.0
0.1,HSS,0.0,0.0
0.1,FAR,0.0,0.7619047619047619
0.1,FPR,0.0,1.0
0.15000000000000002,Accuracy,0.2619047619047619,0.2619047619047619
0.15000000000000002,Recall,0.03125,1.0
0.15000000000000002,Precision,0.9999999999999998,0.24390243902439024
0.15000000000000002,TSS,0.03125,0.03125
0.15000000000000002,HSS,0.015128593040847202,0.015128593040847202
0.15000000000000002,FAR,0.0,0.7560975609756098
0.15000000000000002,FPR,0.0,0.96875
0.2,Accuracy,0.2857142857142857,0.2857142857142857
0.2,Recall,0.0625,1.0
0.2,Precision,1.0,0.25
0.2,TSS,0.0625,0.0625
0.2,HSS,0.03076923076923077,0.03076923076923077
0.2,FAR,0.0,0.75
0.2,FPR,0.0,0.9375
0.25,Accuracy,0.30952380952380953,0.30952380952380953
0.25,Recall,0.125,0.9
0.25,Precision,0.8,0.24324324324324326
0.25,TSS,0.025000000000000022,0.025000000000000022
0.25,HSS,0.012965964343598054,0.012965964343598054
0.25,FAR,0.2,0.7567567567567568
0.25,FPR,0.1,0.875
0.3,Accuracy,0.3333333333333333,0.3333333333333333
0.3,Recall,0.15625,0.9
0.3,Precision,0.8333333333333334,0.25
0.3,TSS,0.05625000000000002,0.05625000000000002
0.3,HSS,0.0297029702970297,0.0297029702970297
0.3,FAR,0.16666666666666666,0.75
0.3,FPR,0.1,0.84375
0.35000000000000003,Accuracy,0.38095238095238093,0.38095238095238093
0.35000000000000003,Recall,0.21875,0.9
0.35000000000000003,Precision,0.875,0.2647058823529412
0.35000000000000003,TSS,0.11875000000000002,0.11875000000000002
0.35000000000000003,HSS,0.06506849315068493,0.06506849315068493
0.35000000000000003,FAR,0.125,0.7352941176470589
0.35000000000000003,FPR,0.1,0.78125
0.4,Accuracy,0.5952380952380952,0.5952380952380952
0.4,Recall,0.5,0.9
0.4,Precision,0.9411764705882353,0.36
0.4,TSS,0.4,0.4
0.4,HSS,0.2639175257731959,0.2639175257731959
0.4,FAR,0.058823529411764705,0.64
0.4,FPR,0.1,0.5
0.45,Accuracy,0.6428571428571429,0.6428571428571429
0.45,Recall,0.5625,0.9
0.45,Precision,0.9473684210526315,0.391304347826087
0.45,TSS,0.4625,0.4625
0.45,HSS,0.31965442764578833,0.31965442764578833
0.45,FAR,0.05263157894736842,0.6086956521739131
0.45,FPR,0.1,0.4375
