Class,noaaID,zero,one
N,13284,0.933745503425598,0.0662544816732406
N,13286,0.446290373802185,0.5537096261978149
N,13287,0.9451841115951538,0.0548158884048461
N,13298,0.9481709599494934,0.0518289878964424
N,13301,0.6372512578964233,0.3627488315105438
N,13303,0.9293753504753112,0.0706246271729469
N,13307,0.948932647705078,0.0510673411190509
N,13345,0.911072313785553,0.0889276713132858
N,13349,0.9229028820991516,0.0770970433950424
N,13356,0.8612726926803589,0.1387273222208023
N,13362,0.9326217770576476,0.0673782378435134
N,13371,0.8908311128616333,0.1091689094901084
N,13393,0.6180403828620911,0.3819595873355865
N,13412,0.920325517654419,0.0796744674444198
N,13414,0.9258102178573608,0.0741898417472839
N,13420,0.8791218996047974,0.1208781227469444
N,13439,0.8609756231307983,0.1390243917703628
N,13440,0.8459871411323547,0.1540128886699676
N,13446,0.904701054096222,0.0952989608049392
N,13461,0.9156035780906676,0.0843964293599128
N,13470,0.8893060684204102,0.1106938868761062
N,13488,0.9353758096694946,0.0646242350339889
N,13496,0.9249109625816344,0.0750890970230102
N,13497,0.0573789775371551,0.9426210522651672
N,13501,0.921532154083252,0.078467845916748
N,13505,0.8031126856803894,0.1968873590230941
N,13512,0.9427221417427064,0.0572778694331646
N,13515,0.9084859490394592,0.0915141329169273
N,13522,0.9334968328475952,0.0665031224489212
N,13525,0.936519205570221,0.0634807795286178
N,13544,0.8861674070358276,0.1138326078653335
N,13550,0.9279332756996156,0.0720667392015457
N,13557,0.8256099820137024,0.1743900328874588
N,13563,0.9483150243759156,0.0516849532723426
N,13570,0.8885233402252197,0.1114766746759414
N,13572,0.9466684460639954,0.0533314980566501
N,13577,0.9046069979667664,0.0953929796814918
N,13578,0.0517099164426326,0.9482900500297546
N,13579,0.0939100906252861,0.906089961528778
N,13581,0.9186949729919434,0.0813050791621208
N,13585,0.6847805380821228,0.3152194917201996
N,13597,0.9028934836387634,0.0971065387129783
N,13609,0.9462719559669496,0.0537280812859535
N,13610,0.9363183975219728,0.0636815130710601
N,13611,0.9439437985420228,0.0560561716556549
N,13622,0.9357221722602844,0.0642778128385543
N,13624,0.9464449882507324,0.0535549372434616
N,13627,0.9416571259498596,0.0583429299294948
N,13640,0.4539529085159302,0.546047031879425
N,13653,0.9388229250907898,0.0611770898103714
N,13659,0.94390606880188,0.056093979626894
N,13660,0.9334273338317872,0.066572681069374
N,13665,0.9266878366470336,0.0733121261000633
N,13666,0.8329441547393799,0.1670558452606201
N,13667,0.8435525298118591,0.1564475744962692
N,13669,0.9400776624679564,0.0599223300814628
N,13678,0.9436862468719482,0.0563137903809547
N,13680,0.8262646198272705,0.1737353503704071
N,13688,0.533080518245697,0.4669194519519806
N,13689,0.8733587861061096,0.1266412585973739
N,13690,0.3675947785377502,0.6324052810668945
N,13693,0.8505706787109375,0.1494293361902237
N,13696,0.9399694800376892,0.0600304901599884
N,13704,0.9155550003051758,0.0844449549913406
N,13706,0.9311860799789428,0.0688139870762825
N,13715,0.9484608769416808,0.0515391156077384
N,13725,0.7967223525047302,0.2032776176929474
N,13726,0.1986498385667801,0.8013501763343811
N,13741,0.9461406469345092,0.0538593828678131
N,13747,0.5315085053443909,0.4684915542602539
N,13748,0.6198923587799072,0.3801077008247375
C,13289,0.6523048877716064,0.3476950526237488
C,13292,0.6026545166969299,0.3973454535007477
C,13297,0.6067392230033875,0.3932607769966125
C,13333,0.8109446167945862,0.1890554130077362
C,13334,0.720490038394928,0.2795100212097168
C,13335,0.450145274400711,0.5498547554016113
C,13339,0.8101674318313599,0.1898325681686401
C,13351,0.8286265134811401,0.1713734418153762
C,13383,0.7344766855239868,0.2655234038829803
C,13392,0.762805163860321,0.2371948510408401
C,13403,0.7349971532821655,0.2650028467178345
C,13404,0.8605978488922119,0.139402151107788
C,13416,0.8656296730041504,0.134370356798172
C,13438,0.2735005617141723,0.7264993786811829
C,13449,0.7631478309631348,0.236852154135704
C,13462,0.8530368208885193,0.1469631642103195
C,13463,0.8639454245567322,0.1360545754432678
C,13464,0.8256005048751831,0.1743995249271392
C,13465,0.8162228465080261,0.1837771385908126
C,13478,0.9132688045501708,0.0867312103509903
C,13489,0.3551054000854492,0.6448946595191956
C,13494,0.6884564161300659,0.3115435540676117
C,13495,0.1773823946714401,0.8226176500320435
C,13503,0.883807361125946,0.1161926239728927
C,13507,0.8355733156204224,0.1644266545772552
C,13508,0.6700752973556519,0.3299246430397033
