Class,noaaID,zero,one
N,13284,0.7848734259605408,0.2151265293359756
N,13287,0.8309172987937927,0.1690827161073684
N,13298,0.831235408782959,0.1687646210193634
N,13303,0.7804330587387085,0.2195669710636139
N,13307,0.8419861197471619,0.1580138206481933
N,13345,0.7367527484893799,0.2632472813129425
N,13349,0.7408042550086975,0.2591956853866577
N,13362,0.815767765045166,0.184232160449028
N,13412,0.7916588187217712,0.2083411961793899
N,13414,0.8491954803466797,0.1508045792579651
N,13420,0.6658213138580322,0.3341786563396454
N,13439,0.6111314296722412,0.3888686001300812
N,13446,0.6951315402984619,0.3048684298992157
N,13470,0.7077850699424744,0.2922149300575256
N,13488,0.833291232585907,0.1667087078094482
N,13496,0.7745850086212158,0.2254149466753006
N,13501,0.7960913181304932,0.203908622264862
N,13512,0.8155490159988403,0.1844509989023208
N,13522,0.7918625473976135,0.2081374526023864
N,13525,0.819320023059845,0.1806799471378326
N,13550,0.7773276567459106,0.2226724028587341
N,13563,0.8362201452255249,0.1637798398733139
N,13570,0.6579946875572205,0.3420053124427795
N,13572,0.8269919157028198,0.1730080842971801
N,13577,0.7221917510032654,0.2778083086013794
N,13581,0.7962032556533813,0.2037967443466186
N,13609,0.8319445252418518,0.1680554896593094
N,13610,0.7876028418540955,0.2123971879482269
N,13611,0.827846348285675,0.1721537113189697
N,13624,0.8274129629135132,0.1725870221853256
N,13627,0.8194323182106018,0.1805677115917205
N,13653,0.8022947907447815,0.1977052092552185
N,13659,0.8174216747283936,0.1825783550739288
N,13660,0.7825917601585388,0.2174082994461059
N,13666,0.612096905708313,0.3879031538963318
N,13667,0.6416971683502197,0.3583028316497803
N,13678,0.83132004737854,0.1686799228191375
N,13693,0.6126563549041748,0.3873436748981476
N,13696,0.8066068291664124,0.1933931857347488
N,13704,0.7677091956138611,0.2322908639907837
N,13706,0.7682097554206848,0.2317902594804763
N,13715,0.8340479731559753,0.1659520715475082
N,13741,0.828343391418457,0.1716566383838653
C,13297,0.3739239871501922,0.6260759830474854
C,13333,0.5904055833816528,0.4095944762229919
C,13392,0.5379947423934937,0.4620052874088287
C,13404,0.6025044918060303,0.3974955677986145
C,13416,0.6237835884094238,0.3762164711952209
C,13462,0.6063539385795593,0.393646091222763
C,13463,0.6562995910644531,0.3437004089355469
C,13464,0.5813651084899902,0.4186348021030426
C,13465,0.652509868144989,0.347490131855011
C,13478,0.716541588306427,0.2834583520889282
C,13503,0.6628501415252686,0.3371498584747314
C,13507,0.6087689399719238,0.3912310004234314
C,13533,0.6406174898147583,0.3593825697898865
C,13534,0.5475208163261414,0.452479213476181
C,13545,0.6751782894134521,0.3248217105865478
C,13546,0.2830793857574463,0.7169206142425537
C,13551,0.7226511240005493,0.277348905801773
C,13560,0.6118398308753967,0.388160228729248
C,13574,0.7381618022918701,0.2618381977081299
C,13583,0.4876670241355896,0.5123329162597656
C,13584,0.5852236747741699,0.4147762954235077
C,13595,0.5435914993286133,0.4564085304737091
C,13604,0.6016666293144226,0.3983334004878998
C,13632,0.5698806643486023,0.4301193058490753
C,13636,0.5301164388656616,0.4698835015296936
C,13657,0.5724369287490845,0.4275630712509155
C,13672,0.5805829763412476,0.4194170534610748
C,13698,0.5569260716438293,0.4430738687515259
C,13701,0.6152819991111755,0.3847180008888244
C,13729,0.4983305037021637,0.5016695261001587
C,13750,0.5208033919334412,0.4791966080665588
C,13757,0.5128461718559265,0.4871538281440735
M,13315,0.0999394580721855,0.9000605344772339
M,13327,0.3735028505325317,0.626497209072113
M,13372,0.255147635936737,0.7448523640632629
M,13559,0.0450835786759853,0.9549164175987244
M,13634,0.2606977224349975,0.7393022775650024
M,13712,0.1818432509899139,0.8181567788124084
X,13590,0.1067734211683273,0.8932266235351562
X,13697,0.1335478276014328,0.8664522171020508
