CLASS,noaaID,FITS文件,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
N,13284,hmi.sharp_cea_720s.9403.20230422_000000_TAI.magnetogram.fits,113.557579,8.11113887e+21,2013710120000.0,0.0417297184,391140606000.0,1.2280089e+21,165.705719,3470.2168,1.99476373,2.215909
N,13284,hmi.sharp_cea_720s.9403.20230422_003600_TAI.magnetogram.fits,114.198898,7.84169075e+21,2059396840000.0,0.732096791,462131560000.0,1.20892151e+21,161.254349,3287.68994,1.98584986,3.5077951
N,13284,hmi.sharp_cea_720s.9403.20230422_032400_TAI.magnetogram.fits,86.6793213,6.06910209e+21,1630160810000.0,4.465868,926318264000.0,9.52897294e+20,157.927246,3195.77222,1.9771415,4.40559435
N,13284,hmi.sharp_cea_720s.9403.20230422_034800_TAI.magnetogram.fits,79.0215607,5.89702855e+21,1511028950000.0,2.66233659,668029485000.0,8.94128415e+20,157.345474,3296.49976,1.92187214,5.04825544
N,13284,hmi.sharp_cea_720s.9403.20230422_041200_TAI.magnetogram.fits,79.1723709,5.6298176e+21,1503448790000.0,1.19236815,769896808000.0,8.60220039e+20,163.796951,3250.90405,1.95513105,5.75153399
N,13284,hmi.sharp_cea_720s.9403.20230422_044800_TAI.magnetogram.fits,82.8835754,4.83384521e+21,1520687510000.0,4.9030509,996130947000.0,8.51347103e+20,165.190186,2799.86279,0.0,3.30769229
N,13284,hmi.sharp_cea_720s.9403.20230422_081200_TAI.magnetogram.fits,109.692894,5.00256413e+21,1913992250000.0,5.24243736,494531084000.0,9.80510974e+20,167.359482,2684.86401,2.62504601,5.48823977
N,13284,hmi.sharp_cea_720s.9403.20230422_084800_TAI.magnetogram.fits,94.4982758,4.60606862e+21,1615300260000.0,9.35901451,155772568000.0,8.89714676e+20,169.613541,2790.27319,2.53867674,4.50522947
N,13284,hmi.sharp_cea_720s.9403.20230422_091200_TAI.magnetogram.fits,84.5296021,4.52395815e+21,1438552820000.0,6.73822594,69310857200.0,8.33652953e+20,172.43959,2843.4729,2.59433174,5.00834751
N,13284,hmi.sharp_cea_720s.9403.20230422_093600_TAI.magnetogram.fits,80.7268372,4.22982102e+21,1412503960000.0,3.43923879,177591484000.0,7.85425664e+20,172.567963,2803.69727,2.20896626,3.34507036
N,13284,hmi.sharp_cea_720s.9403.20230422_101200_TAI.magnetogram.fits,76.3089981,4.26236291e+21,1344198930000.0,2.67352152,234050093000.0,7.48774033e+20,172.14389,2743.16553,2.37916279,7.35042763
N,13284,hmi.sharp_cea_720s.9403.20230422_103600_TAI.magnetogram.fits,74.236824,4.11169582e+21,1321781170000.0,2.02480459,322216460000.0,7.22665188e+20,177.938416,2749.60278,2.46620893,6.74955606
N,13284,hmi.sharp_cea_720s.9403.20230422_111200_TAI.magnetogram.fits,73.5729828,4.14981035e+21,1435061580000.0,0.40172267,601147965000.0,7.76485737e+20,184.221954,2388.95459,2.69290233,9.48012257
N,13284,hmi.sharp_cea_720s.9403.20230422_113600_TAI.magnetogram.fits,69.7895126,3.60667033e+21,1315640970000.0,0.350351274,589998064000.0,7.0101357e+20,181.813187,2363.59888,2.71515703,6.179286
N,13284,hmi.sharp_cea_720s.9403.20230422_120000_TAI.magnetogram.fits,67.6788788,3.84099149e+21,1393125620000.0,3.01700902,644111073000.0,7.05986248e+20,182.54686,2282.72803,1.7829262,10.1026039
N,13284,hmi.sharp_cea_720s.9403.20230422_123600_TAI.magnetogram.fits,63.5561218,3.55544301e+21,1333020720000.0,3.21943331,762362462000.0,6.78046549e+20,183.65184,2141.76147,2.70535851,8.47999954
N,13284,hmi.sharp_cea_720s.9403.20230422_130000_TAI.magnetogram.fits,68.6643829,3.2965426e+21,1341306570000.0,1.55687571,566137979000.0,7.07197646e+20,180.888977,2018.09204,2.19491363,4.87804842
N,13284,hmi.sharp_cea_720s.9403.20230422_133600_TAI.magnetogram.fits,64.2122421,3.31572991e+21,1274103600000.0,3.95209599,626246418000.0,6.77253142e+20,180.0112,2146.77686,2.54979563,7.48065329
N,13284,hmi.sharp_cea_720s.9403.20230422_140000_TAI.magnetogram.fits,62.5706749,3.30314291e+21,1215200890000.0,2.23770213,602621542000.0,6.68583009e+20,174.590958,2170.35181,2.42659163,6.80628252
N,13284,hmi.sharp_cea_720s.9403.20230422_142400_TAI.magnetogram.fits,67.2496643,3.10376264e+21,1266016450000.0,2.90986466,900481548000.0,6.63525396e+20,176.540375,2136.28223,1.57534337,5.30164528
N,13284,hmi.sharp_cea_720s.9403.20230422_150000_TAI.magnetogram.fits,65.242569,3.24597675e+21,1227483770000.0,0.745827675,682867294000.0,6.59944893e+20,179.151306,2301.48584,0.0,6.68549919
N,13284,hmi.sharp_cea_720s.9403.20230422_152400_TAI.magnetogram.fits,67.5356369,3.3300111e+21,1262590890000.0,5.02177811,732814311000.0,6.63962526e+20,173.561569,2326.02466,0.0,7.79220772
N,13284,hmi.sharp_cea_720s.9403.20230422_154800_TAI.magnetogram.fits,72.0563049,3.34276164e+21,1325810710000.0,4.26772165,650489168000.0,6.90252993e+20,178.003311,2217.66992,0.0,8.1938324
N,13284,hmi.sharp_cea_720s.9403.20230422_162400_TAI.magnetogram.fits,74.5023804,3.08152049e+21,1321287160000.0,2.3639617,205442613000.0,6.74921051e+20,176.055023,2180.7749,2.5810976,8.27067661
N,13284,hmi.sharp_cea_720s.9403.20230422_164800_TAI.magnetogram.fits,86.1042252,3.57079578e+21,1468715240000.0,3.65487242,299408785000.0,7.38169041e+20,178.427078,2360.63452,0.0,10.623354
N,13284,hmi.sharp_cea_720s.9403.20230422_172400_TAI.magnetogram.fits,97.728714,3.51085821e+21,1695979800000.0,2.07321525,262852887000.0,7.56941241e+20,181.777954,2263.38184,0.0,8.81849289
N,13284,hmi.sharp_cea_720s.9403.20230422_174800_TAI.magnetogram.fits,99.3479614,3.53766195e+21,1864746930000.0,2.05274296,318287479000.0,8.35436027e+20,186.396484,2021.10229,0.0,5.15933228
N,13284,hmi.sharp_cea_720s.9403.20230422_181200_TAI.magnetogram.fits,120.509171,4.05486828e+21,2361806290000.0,5.2480464,1033936760000.0,9.6234479e+20,183.932968,1919.08398,0.0,7.10245132
N,13284,hmi.sharp_cea_720s.9403.20230422_184800_TAI.magnetogram.fits,116.959267,3.9347342e+21,2407166120000.0,5.84119368,879343632000.0,9.6971859e+20,178.806473,1737.71484,2.42004442,8.62170124
N,13284,hmi.sharp_cea_720s.9403.20230422_191200_TAI.magnetogram.fits,109.098816,3.81833613e+21,2204114350000.0,5.52793312,440908775000.0,9.02405257e+20,180.421036,1769.32739,1.65269053,9.47692299
N,13284,hmi.sharp_cea_720s.9403.20230422_193600_TAI.magnetogram.fits,83.4687042,3.14612857e+21,1632000020000.0,13.0727949,1047626380000.0,6.78056823e+20,179.291061,2005.92126,2.23663068,12.2777309
N,13284,hmi.sharp_cea_720s.9403.20230422_201200_TAI.magnetogram.fits,54.2073975,2.54540861e+21,1001701640000.0,3.9508214,399181283000.0,4.62042195e+20,179.533447,2502.16602,1.90880835,14.8825064
N,13284,hmi.sharp_cea_720s.9403.20230422_203600_TAI.magnetogram.fits,49.29245,2.15179851e+21,880196911000.0,5.52005339,409761251000.0,4.2400444e+20,179.452454,2432.84644,2.33173418,8.70870876
N,13284,hmi.sharp_cea_720s.9403.20230422_211200_TAI.magnetogram.fits,54.3371887,2.30882749e+21,938382262000.0,6.32314205,476197847000.0,4.92067729e+20,172.254349,2490.7124,0.0,4.15472746
N,13284,hmi.sharp_cea_720s.9403.20230422_213600_TAI.magnetogram.fits,61.0617867,2.31569393e+21,1059478500000.0,0.322053134,258085782000.0,5.02124337e+20,172.502914,2388.61206,0.0,6.30136967
N,13284,hmi.sharp_cea_720s.9403.20230422_220000_TAI.magnetogram.fits,75.1140747,2.43111204e+21,1314069540000.0,8.53378963,454764724000.0,6.03614995e+20,167.743393,2070.80908,0.0,3.28054309
N,13284,hmi.sharp_cea_720s.9403.20230422_223600_TAI.magnetogram.fits,81.325882,2.6058306e+21,1485008270000.0,5.83785868,390610223000.0,7.08062126e+20,163.227264,1899.47363,0.0,1.83930302
N,13284,hmi.sharp_cea_720s.9403.20230422_230000_TAI.magnetogram.fits,79.515892,2.84778311e+21,1513116530000.0,4.43119192,420757570000.0,7.23356421e+20,166.128021,1983.66663,1.68831372,4.25531912
N,13284,hmi.sharp_cea_720s.9403.20230422_232400_TAI.magnetogram.fits,80.3321381,2.69370061e+21,1560641670000.0,0.471990734,386473558000.0,7.18795259e+20,164.549164,1812.61877,0.0,5.18319941
N,13284,hmi.sharp_cea_720s.9403.20230423_000000_TAI.magnetogram.fits,79.9354782,2.57050464e+21,1541906370000.0,2.04691267,343054647000.0,7.25943598e+20,163.61644,1732.81677,0.0,3.76007152
N,13286,hmi.sharp_cea_720s.9424.20230426_224800_TAI.magnetogram.fits,1842.34607,5.93300612e+23,35546718000000.0,247.032623,11679016400000.0,2.1311486e+22,1223.5415,13692.1514,4.24543667,50.8704185
N,13286,hmi.sharp_cea_720s.9424.20230426_234800_TAI.magnetogram.fits,1884.65381,6.15047306e+23,36837485700000.0,271.114929,12145018300000.0,2.16620012e+22,1236.54504,14273.6426,4.28953791,49.753437
N,13286,hmi.sharp_cea_720s.9424.20230427_003600_TAI.magnetogram.fits,1917.74524,6.19320321e+23,38127271900000.0,231.848907,8690975900000.0,2.19585385e+22,1231.92676,14113.126,4.24966002,49.8865128
N,13286,hmi.sharp_cea_720s.9424.20230427_011200_TAI.magnetogram.fits,1884.43274,6.20932898e+23,37690011500000.0,244.79689,10144759900000.0,2.20324561e+22,1239.43469,14089.3281,4.22665071,49.5103226
N,13286,hmi.sharp_cea_720s.9424.20230427_014800_TAI.magnetogram.fits,1953.82654,6.38588666e+23,38778081100000.0,251.019104,7729166940000.0,2.22421819e+22,1249.89233,14165.5283,4.32832336,50.0103111
N,13286,hmi.sharp_cea_720s.9424.20230427_032400_TAI.magnetogram.fits,2000.16321,6.59037386e+23,38513185700000.0,302.661621,10210337900000.0,2.21780754e+22,1264.25208,14804.0469,4.40091991,50.9083862
N,13286,hmi.sharp_cea_720s.9424.20230427_034800_TAI.magnetogram.fits,2009.18579,6.60794366e+23,38294956000000.0,291.045654,9382110690000.0,2.20562035e+22,1277.37793,14696.6396,4.34089327,52.0203247
N,13286,hmi.sharp_cea_720s.9424.20230427_042400_TAI.magnetogram.fits,1976.15271,6.5558208e+23,38110800900000.0,321.069946,12207600400000.0,2.18192827e+22,1279.42883,14586.7412,4.40497637,53.1853905
N,13286,hmi.sharp_cea_720s.9424.20230427_050000_TAI.magnetogram.fits,1997.07825,6.52051907e+23,37996871000000.0,356.910004,12426565100000.0,2.1690187e+22,1299.78552,14381.9814,4.45570755,54.7702026
N,13286,hmi.sharp_cea_720s.9424.20230427_053600_TAI.magnetogram.fits,2039.27283,6.46902815e+23,37565256200000.0,398.016449,12436281200000.0,2.15699296e+22,1302.36096,14379.1895,4.38903904,54.5548515
N,13286,hmi.sharp_cea_720s.9424.20230427_060000_TAI.magnetogram.fits,2050.16846,6.54474627e+23,37962754600000.0,406.370148,13641565900000.0,2.16741226e+22,1306.30383,14160.4141,4.34506559,55.2640686
N,13286,hmi.sharp_cea_720s.9424.20230427_063600_TAI.magnetogram.fits,2132.01636,6.75449584e+23,39794092500000.0,341.741302,13072902100000.0,2.22799401e+22,1319.74829,14046.748,4.41291761,54.9961319
N,13286,hmi.sharp_cea_720s.9424.20230427_071200_TAI.magnetogram.fits,2314.51318,6.85512643e+23,43937620300000.0,414.129425,15018919700000.0,2.35740427e+22,1327.62219,13406.9785,4.38971233,53.4064064
N,13286,hmi.sharp_cea_720s.9424.20230427_074800_TAI.magnetogram.fits,2435.7998,6.91355145e+23,45583461000000.0,494.529816,18771047600000.0,2.43446424e+22,1339.94092,13513.5215,4.35963964,51.0448265
N,13286,hmi.sharp_cea_720s.9424.20230427_082400_TAI.magnetogram.fits,2432.51196,7.01131415e+23,43663543500000.0,537.129761,18365617800000.0,2.41094734e+22,1340.55786,14686.2842,4.30155563,50.3616333
N,13286,hmi.sharp_cea_720s.9424.20230427_090000_TAI.magnetogram.fits,2424.73584,7.01468572e+23,41884063900000.0,559.145325,18937146200000.0,2.38833477e+22,1353.20227,15489.1768,4.27810144,50.4941216
N,13286,hmi.sharp_cea_720s.9424.20230427_092400_TAI.magnetogram.fits,2379.98389,7.04455792e+23,40519392600000.0,586.250061,18107015900000.0,2.38437273e+22,1352.67261,15689.0264,4.33758307,51.2392769
N,13286,hmi.sharp_cea_720s.9424.20230427_100000_TAI.magnetogram.fits,2311.53613,7.0173814e+23,39923776200000.0,559.587585,20664018800000.0,2.36734214e+22,1364.07397,15490.1367,4.49367046,51.9260101
N,13286,hmi.sharp_cea_720s.9424.20230427_103600_TAI.magnetogram.fits,2213.95996,6.92193751e+23,38710678700000.0,472.999451,17534795400000.0,2.35053448e+22,1364.82043,14870.1279,4.43178654,52.8458519
N,13286,hmi.sharp_cea_720s.9424.20230427_111200_TAI.magnetogram.fits,2190.01318,6.87764443e+23,39395507800000.0,436.381592,15894975600000.0,2.34312291e+22,1368.8136,14294.166,4.45918322,53.7482758
N,13286,hmi.sharp_cea_720s.9424.20230427_114800_TAI.magnetogram.fits,2208.354,6.90767299e+23,39334925300000.0,421.583069,15520489300000.0,2.3227824e+22,1364.19446,14259.752,4.40555334,54.4330521
