serial,prediction_date,jsoc_date,noaaID,harpnum,c_class,MPlus,m5_class,solarmonitor_date
1,20230120,2023/1/19 23:58,13184,7778,0.67%,0.0029,0.15%,2023/1/19
1,20230120,2023/1/19 23:58,13186,7783,83.27%,0.25429999999999997,12.89%,2023/1/19
1,20230120,2023/1/19 23:58,13188,7785,32.15%,0.0739,6.57%,2023/1/19
1,20230120,2023/1/19 23:58,13190,7790,51.40%,0.0781,0.65%,2023/1/19
1,20230120,2023/1/19 23:58,13192,7791,53.96%,0.1999,18.05%,2023/1/19
1,20230120,2023/1/19 23:58,13195,7796,8.17%,0.0323,0.09%,2023/1/19
1,20230120,2023/1/19 23:58,13196,7803,99.74%,0.9974,0.09%,2023/1/19
2,20230121,2023/1/20 23:58,13186,7783,33.09%,0.0482,1.09%,2023/1/20
2,20230121,2023/1/20 23:58,13188,7785,1.78%,0.0053,0.22%,2023/1/20
2,20230121,2023/1/20 23:58,13190,7790,51.78%,0.2368,13.06%,2023/1/20
2,20230121,2023/1/20 23:58,13192,7791,84.01%,0.2408,6.55%,2023/1/20
2,20230121,2023/1/20 23:58,13195,7796,33.71%,0.157,0.10%,2023/1/20
2,20230121,2023/1/20 23:58,13196,7803,6.32%,0.061399999999999996,0.10%,2023/1/20
2,20230121,2023/1/20 23:58,13198,7805,16.19%,0.0033,0.09%,2023/1/20
3,20230122,2023/1/21 23:58,13190,7790,1.65%,0.0029,0.18%,2023/1/21
3,20230122,2023/1/21 23:58,13192,7791,57.49%,0.179,6.56%,2023/1/21
3,20230122,2023/1/21 23:58,13195,7796,30.30%,0.16329999999999997,0.10%,2023/1/21
3,20230122,2023/1/21 23:58,13196,7803,26.85%,0.07519999999999999,0.10%,2023/1/21
3,20230122,2023/1/21 23:58,13198,7805,1.68%,0.0036,0.19%,2023/1/21
3,20230122,2023/1/21 23:58,13199,7811,80.35%,0.2275,0.10%,2023/1/21
4,20230123,2023/1/22 23:58,13190,7790,99.69%,0.9969,0.85%,2023/1/22
4,20230123,2023/1/22 23:58,13192,7791,87.89%,0.0861,4.06%,2023/1/22
4,20230123,2023/1/22 23:58,13195,7796,4.43%,0.0104,0.10%,2023/1/22
4,20230123,2023/1/22 23:58,13196,7803,52.21%,0.17600000000000002,0.12%,2023/1/22
4,20230123,2023/1/22 23:58,13198,7805,0.56%,0.0023,0.18%,2023/1/22
4,20230123,2023/1/22 23:58,13199,7811,0.24%,0.0015,0.13%,2023/1/22
5,20230124,2023/1/23 15:34,13190,7790,52.80%,0.1495,6.66%,2023/1/23
5,20230124,2023/1/23 15:34,13192,7791,23.87%,0.10439999999999999,2.04%,2023/1/23
5,20230124,2023/1/23 15:34,13194,7785,52.59%,0.1204,2.51%,2023/1/23
5,20230124,2023/1/23 15:34,13196,7803,1.03%,0.0042,0.10%,2023/1/23
5,20230124,2023/1/23 15:34,13198,7803,23.51%,0.0040999999999999995,0.20%,2023/1/23
5,20230124,2023/1/23 15:34,13199,7808,36.33%,0.0034000000000000002,0.09%,2023/1/23
5,20230124,2023/1/23 15:34,13200,7814,8.35%,0.0058,0.09%,2023/1/23
6,20230125,2023/1/24 23:58,13190,7790,55.64%,0.0084,0.40%,2023/1/24
6,20230125,2023/1/24 23:58,13192,7791,53.26%,0.12619999999999998,2.93%,2023/1/24
6,20230125,2023/1/24 23:58,13198,7803,5.70%,0.022099999999999998,1.64%,2023/1/24
6,20230125,2023/1/24 23:58,13199,7808,1.89%,0.0044,0.22%,2023/1/24
6,20230125,2023/1/24 23:58,13200,7814,33.23%,0.25120000000000003,0.13%,2023/1/24
7,20230126,2023/1/25 23:58,13198,7803,0.48%,0.0024,0.15%,2023/1/25
7,20230126,2023/1/25 23:58,13199,7808,36.08%,0.047400000000000005,2.20%,2023/1/25
7,20230126,2023/1/25 23:58,13200,7814,13.67%,0.0288,0.47%,2023/1/25
7,20230126,2023/1/25 23:58,13201,7822,12.06%,0.0033,0.09%,2023/1/25
8,20230127,2023/1/26 23:58,13198,7803,78.37%,0.1263,11.47%,2023/1/26
8,20230127,2023/1/26 23:58,13199,7808,98.98%,0.6855,2.13%,2023/1/26
8,20230127,2023/1/26 23:58,13200,7814,52.01%,0.29100000000000004,9.58%,2023/1/26
