T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230423,LLM_VIT,BSS,"13276,13279,13281,13283",0.482,0.334,0.541,0.552,0.403,0.354,0.475,0.595,0.517,0.582,13281,0.483,N,13283.0,20230424
20230425,LLM_VIT,BSS,"13285,13286",0.416,0.279,0.37,0.452,0.374,0.183,0.429,0.415,0.37,0.456,13285,0.374,C,13285.0,20230426
20230427,LLM_VIT,BSS,"13285,13286,13288",0.72,0.562,0.726,0.703,0.529,0.536,0.66,0.707,0.685,0.812,13285,0.663,C,13288.0,20230428
20230428,LLM_VIT,BSS,"13285,13286,13288",0.784,0.677,0.778,0.757,0.588,0.646,0.743,0.781,0.738,0.882,13285,0.737,C,13285.0,20230429
20230429,LLM_VIT,BSS,"13285,13286,13288",0.823,0.761,0.83,0.801,0.636,0.737,0.806,0.827,0.77,0.918,13285,0.79,C,13288.0,20230430
20230429,LLM_VIT,BSS,"13289,13292",0.577,0.385,0.565,0.573,0.408,0.374,0.504,0.626,0.546,0.608,13292,0.516,N,13292.0,20230430
20230430,LLM_VIT,BSS,"13285,13286,13288",0.868,0.819,0.897,0.856,0.671,0.854,0.852,0.902,0.853,0.951,13286,0.852,M,13288.0,20230501
20230430,LLM_VIT,BSS,"13289,13292",0.649,0.433,0.644,0.603,0.441,0.451,0.532,0.68,0.621,0.678,13289,0.573,C,13292.0,20230501
20230501,LLM_VIT,BSS,"13285,13286,13288",0.829,0.751,0.872,0.829,0.615,0.821,0.805,0.887,0.829,0.928,13288,0.816,C,13288.0,20230502
20230501,LLM_VIT,BSS,"13289,13292",0.532,0.33,0.51,0.498,0.4,0.3,0.451,0.55,0.503,0.538,13289,0.461,C,13289.0,20230502
20230502,LLM_VIT,BSS,"13289,13292",0.538,0.321,0.53,0.5,0.398,0.317,0.435,0.551,0.519,0.548,13289,0.465,N,13292.0,20230503
20230503,LLM_VIT,BSS,"13293,13296",0.924,0.831,0.949,0.906,0.654,0.927,0.846,0.952,0.938,0.966,13293,0.889,M,13296.0,20230504
20230504,LLM_VIT,BSS,"13289,13292,13295",0.442,0.242,0.471,0.426,0.346,0.277,0.364,0.511,0.45,0.45,13289,0.397,N,13295.0,20230505
20230504,LLM_VIT,BSS,"13293,13296",0.888,0.804,0.909,0.864,0.655,0.871,0.835,0.921,0.892,0.952,13293,0.859,M,13296.0,20230505
20230505,LLM_VIT,BSS,"13293,13296",0.683,0.549,0.674,0.659,0.526,0.513,0.652,0.707,0.643,0.776,13293,0.638,C,13296.0,20230506
20230506,LLM_VIT,BSS,"13293,13296",0.621,0.461,0.605,0.593,0.484,0.418,0.578,0.636,0.581,0.724,13296,0.57,M,13296.0,20230507
20230507,LLM_VIT,BSS,"13293,13296",0.576,0.406,0.552,0.562,0.456,0.342,0.529,0.563,0.531,0.666,13296,0.518,M,13296.0,20230508
20230508,LLM_VIT,BSS,"13293,13296",0.918,0.791,0.938,0.878,0.637,0.897,0.794,0.933,0.919,0.956,13293,0.866,M,13296.0,20230509
20230510,LLM_VIT,BSS,"13293,13296",0.989,0.967,0.995,0.978,0.814,0.995,0.956,0.996,0.993,0.997,13293,0.968,C,13296.0,20230511
20230516,LLM_VIT,BSS,"13301,13302,13305",0.398,0.295,0.354,0.416,0.413,0.171,0.437,0.349,0.331,0.463,13302,0.362,C,13305.0,20230517
20230517,LLM_VIT,BSS,"13301,13302,13305",0.432,0.315,0.406,0.456,0.422,0.211,0.465,0.414,0.385,0.529,13302,0.403,N,13305.0,20230518
20230518,LLM_VIT,BSS,"13301,13302,13305",0.478,0.377,0.463,0.52,0.437,0.275,0.514,0.497,0.439,0.558,13305,0.455,N,13305.0,20230519
20230519,LLM_VIT,BSS,"13301,13302,13305,13308",0.566,0.549,0.598,0.655,0.528,0.451,0.664,0.633,0.531,0.744,13302,0.591,C,13305.0,20230520
20230520,LLM_VIT,BSS,"13310,13312",0.734,0.722,0.813,0.8,0.607,0.772,0.807,0.852,0.739,0.901,13310,0.774,N,13312.0,20230521
20230521,LLM_VIT,BSS,"13310,13312",0.648,0.639,0.712,0.716,0.571,0.618,0.746,0.736,0.613,0.824,13312,0.682,M,13312.0,20230522
20230522,LLM_VIT,BSS,"13310,13312",0.731,0.716,0.783,0.758,0.624,0.699,0.79,0.775,0.684,0.874,13312,0.743,C,13312.0,20230523
20230522,LLM_VIT,BSS,"13311,13313,13314",0.642,0.662,0.64,0.698,0.607,0.509,0.76,0.656,0.567,0.847,13313,0.658,M,13311.0,20230523
20230523,LLM_VIT,BSS,"13310,13312",0.55,0.583,0.578,0.606,0.58,0.424,0.718,0.546,0.465,0.758,13312,0.58,C,13312.0,20230524
20230523,LLM_VIT,BSS,"13311,13313,13314",0.792,0.752,0.819,0.796,0.663,0.722,0.804,0.785,0.753,0.91,13311,0.779,M,13311.0,20230524
20230524,LLM_VIT,BSS,"13310,13312",0.483,0.503,0.493,0.534,0.548,0.318,0.656,0.439,0.384,0.67,13312,0.502,M,13312.0,20230525
20230524,LLM_VIT,BSS,"13311,13313,13314",0.734,0.732,0.741,0.731,0.663,0.64,0.802,0.734,0.677,0.886,13311,0.733,C,13311.0,20230525
20230525,LLM_VIT,BSS,"13310,13312",0.5,0.503,0.51,0.54,0.546,0.329,0.654,0.448,0.407,0.683,13312,0.512,C,13310.0,20230526
20230525,LLM_VIT,BSS,"13311,13313,13314",0.687,0.656,0.702,0.688,0.621,0.561,0.745,0.674,0.63,0.839,13314,0.68,C,13314.0,20230526
20230526,LLM_VIT,BSS,"13310,13312",0.519,0.495,0.552,0.569,0.529,0.366,0.642,0.509,0.455,0.701,13312,0.533,C,13312.0,20230527
20230526,LLM_VIT,BSS,"13311,13313,13314",0.557,0.516,0.574,0.594,0.545,0.397,0.645,0.557,0.507,0.715,13311,0.56,C,13314.0,20230527
20230527,LLM_VIT,BSS,"13310,13312",0.559,0.521,0.611,0.62,0.533,0.446,0.663,0.596,0.519,0.749,13310,0.581,N,13312.0,20230528
20230527,LLM_VIT,BSS,"13311,13313,13314",0.587,0.543,0.622,0.644,0.535,0.462,0.659,0.626,0.551,0.752,13313,0.598,C,13314.0,20230528
20230528,LLM_VIT,BSS,"13310,13312",0.534,0.494,0.601,0.61,0.503,0.445,0.641,0.61,0.499,0.695,13312,0.563,C,13310.0,20230529
20230528,LLM_VIT,BSS,"13311,13313,13314",0.633,0.565,0.703,0.709,0.53,0.58,0.682,0.74,0.647,0.809,13311,0.659,N,13314.0,20230529
20230606,LLM_VIT,BSS,"13320,13328",0.191,0.088,0.188,0.2,0.234,0.073,0.186,0.212,0.194,0.149,13320,0.171,N,13328.0,20230607
20230607,LLM_VIT,BSS,"13320,13328",0.259,0.108,0.237,0.251,0.233,0.095,0.206,0.283,0.243,0.183,13320,0.209,N,13328.0,20230608
20230608,LLM_VIT,BSS,"13326,13329,13330",0.392,0.286,0.376,0.422,0.401,0.199,0.437,0.395,0.354,0.467,13330,0.372,N,13330.0,20230609
20230609,LLM_VIT,BSS,"13326,13329,13330",0.34,0.245,0.311,0.365,0.383,0.148,0.395,0.318,0.289,0.393,13329,0.318,N,13330.0,20230610
20230610,LLM_VIT,BSS,"13326,13329,13330",0.352,0.25,0.321,0.371,0.379,0.153,0.393,0.33,0.297,0.398,13329,0.324,N,13330.0,20230611
