T_REC,noaaID,Class,one,MPlus,y_true
20230430,13292.0,N,0.516,0.0,0
20230523,13311.0,M,0.658,0.008,1
20230618,13338.0,N,0.348,0.03329,0
20230701,13354.0,C,0.955,0.217,0
20230709,13366.0,C,0.558,0.0,0
20230818,13408.0,N,0.318,0.0,0
20230905,13421.0,M,0.33,0.0055,1
20230909,13425.0,C,0.472,0.0317,0
20230910,13425.0,C,0.453,0.0838,0
20230917,13434.0,N,0.558,0.0,0
20230926,13445.0,C,0.412,0.0838,0
20231013,13466.0,C,0.211,0.00243,0
20231014,13466.0,N,0.221,0.00789,0
20231015,13460.0,N,0.303,0.0225,0
20231015,13466.0,N,0.216,0.0217,0
20231124,13494.0,C,0.453,0.135,0
20231201,13508.0,N,0.293,0.00666,0
20231202,13508.0,N,0.309,0.0,0
20231203,13508.0,N,0.297,0.001,0
20231211,13516.0,C,0.31,0.0109,0
20231212,13516.0,N,0.27,0.0109,0
20240110,13541.0,N,0.349,0.037,0
20240301,13597.0,N,0.196,0.0055,0
20240302,13598.0,C,0.309,0.0,0
20240304,13598.0,C,0.365,0.045,0
20240503,13663.0,X,0.808,1.0,1
20240504,13663.0,M,0.979,1.0,1
20240515,13679.0,C,0.534,0.04149,0
20240518,13682.0,N,0.288,0.01649,0
20240519,13682.0,N,0.272,0.0145,0
20240520,13686.0,C,0.787,0.04611,0
20240525,13686.0,C,0.524,0.06333,0
20240602,13695.0,N,0.661,0.09178,0
