T_REC,noaaID,Class,one,MPlus,y_true
20230430,13292.0,N,0.695,0.0,0
20230523,13311.0,M,0.763,0.008,1
20230618,13338.0,N,0.483,0.03329,0
20230701,13354.0,C,0.986,0.217,0
20230709,13366.0,C,0.694,0.0,0
20230818,13408.0,N,0.421,0.0,0
20230905,13421.0,M,0.421,0.0055,1
20230909,13425.0,C,0.638,0.0317,0
20230910,13425.0,C,0.62,0.0838,0
20230917,13434.0,N,0.76,0.0,0
20230926,13445.0,C,0.507,0.0838,0
20231013,13466.0,C,0.28,0.00243,0
20231014,13466.0,N,0.299,0.00789,0
20231015,13460.0,N,0.416,0.0225,0
20231015,13466.0,N,0.292,0.0217,0
20231124,13494.0,C,0.63,0.135,0
20231201,13508.0,N,0.402,0.00666,0
20231202,13508.0,N,0.422,0.0,0
20231203,13508.0,N,0.398,0.001,0
20231211,13516.0,C,0.439,0.0109,0
20231212,13516.0,N,0.372,0.0109,0
20240110,13541.0,N,0.434,0.037,0
20240301,13597.0,N,0.257,0.0055,0
20240302,13598.0,C,0.399,0.0,0
20240304,13598.0,C,0.48,0.045,0
20240503,13663.0,X,0.936,1.0,1
20240504,13663.0,M,0.997,1.0,1
20240515,13679.0,C,0.577,0.04149,0
20240518,13682.0,N,0.299,0.01649,0
20240519,13682.0,N,0.286,0.0145,0
20240520,13686.0,C,0.891,0.04611,0
20240525,13686.0,C,0.625,0.06333,0
20240602,13695.0,N,0.782,0.09178,0
