T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230422,LLM_VIT,BSS,13282,0.531,0.425,0.545,0.589,0.447,0.344,0.587,0.57,0.479,0.651,13282,0.516,C,13282.0,20230423
20230422,LLM_VIT,BSS,13284,0.171,0.071,0.159,0.172,0.206,0.062,0.153,0.194,0.168,0.112,13284,0.146,N,13284.0,20230423
20230423,LLM_VIT,BSS,"13276,13279,13281,13283",0.482,0.334,0.541,0.552,0.403,0.354,0.475,0.595,0.517,0.582,13281,0.483,N,13283.0,20230424
20230423,LLM_VIT,BSS,13284,0.154,0.061,0.141,0.154,0.199,0.053,0.142,0.17,0.147,0.099,13284,0.132,N,13284.0,20230424
20230423,LLM_VIT,BSS,13285,0.397,0.232,0.371,0.442,0.333,0.177,0.38,0.425,0.372,0.409,13285,0.353,C,13285.0,20230424
20230424,LLM_VIT,BSS,13284,0.123,0.053,0.123,0.122,0.189,0.046,0.124,0.137,0.12,0.081,13284,0.111,N,13284.0,20230425
20230424,LLM_VIT,BSS,13285,0.394,0.232,0.355,0.432,0.333,0.165,0.378,0.403,0.358,0.403,13285,0.345,N,13285.0,20230425
20230425,LLM_VIT,BSS,13284,0.131,0.06,0.135,0.131,0.193,0.05,0.129,0.147,0.13,0.09,13284,0.119,N,13284.0,20230426
20230425,LLM_VIT,BSS,"13285,13286",0.416,0.279,0.37,0.452,0.374,0.183,0.429,0.415,0.37,0.456,13285,0.374,C,13285.0,20230426
20230427,LLM_VIT,BSS,"13285,13286,13288",0.72,0.562,0.726,0.703,0.529,0.536,0.66,0.707,0.685,0.812,13285,0.663,C,13288.0,20230428
20230428,LLM_VIT,BSS,"13285,13286,13288",0.784,0.677,0.778,0.757,0.588,0.646,0.743,0.781,0.738,0.882,13285,0.737,C,13285.0,20230429
20230428,LLM_VIT,BSS,13291,0.249,0.114,0.205,0.252,0.25,0.078,0.223,0.259,0.227,0.208,13291,0.206,N,13291.0,20230429
20230429,LLM_VIT,BSS,"13285,13286,13288",0.823,0.761,0.83,0.801,0.636,0.737,0.806,0.827,0.77,0.918,13285,0.79,C,13288.0,20230430
20230429,LLM_VIT,BSS,"13289,13292",0.577,0.385,0.565,0.573,0.408,0.374,0.504,0.626,0.546,0.608,13292,0.516,N,13292.0,20230430
20230429,LLM_VIT,BSS,13291,0.247,0.116,0.21,0.235,0.248,0.081,0.211,0.253,0.221,0.202,13291,0.202,N,13291.0,20230430
20230430,LLM_VIT,BSS,"13285,13286,13288",0.868,0.819,0.897,0.856,0.671,0.854,0.852,0.902,0.853,0.951,13286,0.852,M,13288.0,20230501
