T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230422,LLM_VIT,TSS,13282,0.61,0.632,0.778,0.586,0.694,0.699,0.592,0.678,0.577,0.8,13282,0.664,C,13282.0,20230423
20230422,LLM_VIT,TSS,13284,0.218,0.143,0.165,0.192,0.203,0.197,0.18,0.227,0.212,0.139,13284,0.187,N,13284.0,20230423
20230423,LLM_VIT,TSS,"13276,13279,13281,13283",0.55,0.514,0.754,0.564,0.645,0.693,0.61,0.745,0.63,0.764,13281,0.646,N,13283.0,20230424
20230423,LLM_VIT,TSS,13284,0.199,0.125,0.14,0.173,0.184,0.172,0.169,0.197,0.187,0.123,13284,0.166,N,13284.0,20230424
20230423,LLM_VIT,TSS,13285,0.467,0.445,0.503,0.447,0.479,0.481,0.429,0.509,0.46,0.534,13285,0.475,C,13285.0,20230424
20230424,LLM_VIT,TSS,13284,0.163,0.104,0.119,0.141,0.153,0.146,0.148,0.152,0.155,0.103,13284,0.138,N,13284.0,20230425
20230424,LLM_VIT,TSS,13285,0.462,0.433,0.458,0.438,0.448,0.459,0.418,0.469,0.443,0.519,13285,0.454,N,13285.0,20230425
20230425,LLM_VIT,TSS,13284,0.173,0.117,0.134,0.149,0.158,0.161,0.155,0.166,0.167,0.115,13284,0.149,N,13284.0,20230426
20230425,LLM_VIT,TSS,"13285,13286",0.486,0.472,0.487,0.456,0.499,0.481,0.445,0.488,0.46,0.594,13285,0.486,C,13285.0,20230426
20230427,LLM_VIT,TSS,"13285,13286,13288",0.784,0.763,0.944,0.683,0.881,0.817,0.762,0.891,0.813,0.936,13285,0.827,C,13288.0,20230428
20230428,LLM_VIT,TSS,"13285,13286,13288",0.838,0.83,0.964,0.74,0.923,0.88,0.826,0.934,0.853,0.968,13285,0.875,C,13285.0,20230429
20230428,LLM_VIT,TSS,13291,0.306,0.243,0.212,0.266,0.25,0.254,0.253,0.298,0.291,0.267,13291,0.263,N,13291.0,20230429
20230429,LLM_VIT,TSS,"13285,13286,13288",0.868,0.872,0.978,0.787,0.94,0.922,0.863,0.95,0.872,0.98,13285,0.903,C,13288.0,20230430
20230429,LLM_VIT,TSS,"13289,13292",0.646,0.616,0.802,0.577,0.716,0.721,0.625,0.803,0.666,0.787,13292,0.695,N,13292.0,20230430
20230429,LLM_VIT,TSS,13291,0.304,0.241,0.228,0.25,0.251,0.261,0.25,0.297,0.284,0.266,13291,0.263,N,13291.0,20230430
20230430,LLM_VIT,TSS,"13285,13286,13288",0.906,0.912,0.993,0.842,0.969,0.96,0.924,0.983,0.93,0.991,13286,0.941,M,13288.0,20230501
20230430,LLM_VIT,TSS,"13289,13292",0.714,0.665,0.89,0.6,0.815,0.766,0.698,0.883,0.757,0.859,13289,0.764,C,13292.0,20230501
20230430,LLM_VIT,TSS,13291,0.334,0.256,0.307,0.287,0.293,0.312,0.274,0.365,0.328,0.265,13291,0.302,C,13291.0,20230501
20230501,LLM_VIT,TSS,"13285,13286,13288",0.877,0.883,0.989,0.816,0.955,0.951,0.906,0.978,0.914,0.985,13288,0.925,C,13288.0,20230502
20230501,LLM_VIT,TSS,"13289,13292",0.599,0.531,0.739,0.501,0.678,0.619,0.58,0.756,0.639,0.726,13289,0.636,C,13289.0,20230502
20230501,LLM_VIT,TSS,13291,0.334,0.259,0.336,0.291,0.302,0.346,0.272,0.383,0.331,0.263,13291,0.311,N,13291.0,20230502
20230502,LLM_VIT,TSS,"13289,13292",0.606,0.516,0.773,0.503,0.697,0.632,0.582,0.767,0.66,0.743,13289,0.647,N,13292.0,20230503
20230502,LLM_VIT,TSS,13293,0.774,0.75,0.952,0.704,0.861,0.856,0.785,0.926,0.836,0.92,13293,0.836,M,13293.0,20230503
20230503,LLM_VIT,TSS,"13293,13296",0.95,0.944,0.998,0.891,0.988,0.98,0.961,0.996,0.978,0.995,13293,0.968,M,13296.0,20230504
20230504,LLM_VIT,TSS,"13289,13292,13295",0.519,0.422,0.716,0.44,0.616,0.596,0.519,0.73,0.583,0.659,13289,0.58,N,13295.0,20230505
20230504,LLM_VIT,TSS,"13293,13296",0.921,0.919,0.995,0.847,0.978,0.963,0.94,0.991,0.957,0.992,13293,0.95,M,13296.0,20230505
20230504,LLM_VIT,TSS,13294,0.408,0.4,0.298,0.386,0.394,0.287,0.352,0.301,0.381,0.33,13294,0.353,N,13294.0,20230505
20230504,LLM_VIT,TSS,13297,0.594,0.604,0.781,0.587,0.691,0.689,0.614,0.706,0.618,0.805,13297,0.668,C,13297.0,20230505
20230505,LLM_VIT,TSS,"13293,13296",0.747,0.733,0.909,0.648,0.862,0.799,0.751,0.889,0.777,0.916,13293,0.803,C,13296.0,20230506
20230505,LLM_VIT,TSS,13294,0.411,0.398,0.289,0.377,0.384,0.285,0.351,0.301,0.376,0.337,13294,0.35,N,13294.0,20230506
20230505,LLM_VIT,TSS,13297,0.607,0.607,0.779,0.582,0.692,0.683,0.615,0.713,0.629,0.814,13297,0.672,C,13297.0,20230506
20230506,LLM_VIT,TSS,"13293,13296",0.688,0.655,0.854,0.584,0.796,0.724,0.692,0.838,0.724,0.885,13296,0.744,M,13296.0,20230507
20230506,LLM_VIT,TSS,13294,0.345,0.325,0.225,0.322,0.332,0.239,0.308,0.246,0.317,0.288,13294,0.294,N,13294.0,20230507
20230506,LLM_VIT,TSS,13297,0.637,0.632,0.81,0.586,0.73,0.69,0.645,0.761,0.676,0.841,13297,0.7,C,13297.0,20230507
20230506,LLM_VIT,TSS,13299,0.544,0.464,0.687,0.455,0.568,0.582,0.474,0.723,0.579,0.563,13299,0.563,N,13299.0,20230507
20230507,LLM_VIT,TSS,"13293,13296",0.643,0.591,0.78,0.558,0.72,0.662,0.613,0.737,0.664,0.832,13296,0.679,M,13296.0,20230508
20230507,LLM_VIT,TSS,13294,0.331,0.313,0.197,0.298,0.303,0.216,0.291,0.225,0.292,0.266,13294,0.273,N,13294.0,20230508
20230507,LLM_VIT,TSS,13297,0.611,0.611,0.718,0.553,0.683,0.625,0.582,0.644,0.595,0.795,13297,0.641,C,13297.0,20230508
20230507,LLM_VIT,TSS,13299,0.376,0.296,0.381,0.326,0.361,0.376,0.32,0.462,0.385,0.33,13299,0.361,N,13299.0,20230508
20230508,LLM_VIT,TSS,"13293,13296",0.943,0.921,0.997,0.861,0.985,0.971,0.944,0.994,0.971,0.994,13293,0.958,M,13296.0,20230509
20230508,LLM_VIT,TSS,13294,0.296,0.275,0.164,0.273,0.279,0.184,0.269,0.185,0.267,0.232,13294,0.242,N,13294.0,20230509
20230508,LLM_VIT,TSS,13297,0.73,0.718,0.875,0.633,0.809,0.751,0.675,0.787,0.701,0.888,13297,0.756,N,13297.0,20230509
20230508,LLM_VIT,TSS,13299,0.29,0.209,0.257,0.258,0.279,0.273,0.254,0.327,0.297,0.234,13299,0.267,C,13299.0,20230509
20230510,LLM_VIT,TSS,"13293,13296",0.993,0.992,0.999,0.971,0.999,0.998,0.997,0.999,0.998,0.999,13293,0.994,C,13296.0,20230511
20230510,LLM_VIT,TSS,13294,0.402,0.37,0.317,0.351,0.353,0.315,0.338,0.353,0.375,0.362,13294,0.353,M,13294.0,20230511
20230510,LLM_VIT,TSS,13297,0.768,0.751,0.922,0.666,0.853,0.809,0.754,0.886,0.789,0.93,13297,0.812,N,13297.0,20230511
20230516,LLM_VIT,TSS,"13301,13302,13305",0.451,0.4,0.398,0.427,0.454,0.428,0.415,0.37,0.412,0.588,13302,0.434,C,13305.0,20230517
20230516,LLM_VIT,TSS,13304,0.246,0.166,0.255,0.226,0.251,0.261,0.237,0.295,0.26,0.219,13304,0.241,N,13304.0,20230517
20230517,LLM_VIT,TSS,"13301,13302,13305",0.489,0.437,0.504,0.465,0.524,0.497,0.479,0.478,0.482,0.677,13302,0.503,N,13305.0,20230518
20230517,LLM_VIT,TSS,13307,0.186,0.128,0.135,0.158,0.157,0.164,0.162,0.182,0.176,0.116,13307,0.156,N,13307.0,20230518
20230518,LLM_VIT,TSS,"13301,13302,13305",0.539,0.521,0.604,0.529,0.577,0.604,0.549,0.582,0.536,0.712,13305,0.575,N,13305.0,20230519
20230518,LLM_VIT,TSS,13307,0.211,0.143,0.141,0.171,0.183,0.178,0.18,0.198,0.195,0.134,13307,0.173,N,13307.0,20230519
20230518,LLM_VIT,TSS,13308,0.394,0.34,0.317,0.342,0.326,0.341,0.312,0.406,0.384,0.354,13308,0.351,N,13308.0,20230519
20230519,LLM_VIT,TSS,"13301,13302,13305,13308",0.627,0.655,0.783,0.662,0.706,0.775,0.696,0.722,0.628,0.877,13302,0.713,C,13305.0,20230520
20230519,LLM_VIT,TSS,13307,0.221,0.15,0.175,0.194,0.202,0.205,0.184,0.237,0.219,0.14,13307,0.192,N,13307.0,20230520
20230519,LLM_VIT,TSS,13310,0.773,0.813,0.968,0.776,0.895,0.921,0.832,0.928,0.8,0.959,13310,0.866,N,13310.0,20230520
20230520,LLM_VIT,TSS,"13310,13312",0.8,0.841,0.974,0.792,0.922,0.934,0.868,0.952,0.84,0.974,13310,0.889,N,13312.0,20230521
20230521,LLM_VIT,TSS,"13310,13312",0.72,0.757,0.925,0.712,0.857,0.868,0.763,0.861,0.722,0.934,13312,0.811,M,13312.0,20230522
20230522,LLM_VIT,TSS,"13310,13312",0.792,0.81,0.962,0.75,0.915,0.899,0.815,0.909,0.795,0.962,13312,0.86,C,13312.0,20230523
20230522,LLM_VIT,TSS,"13311,13313,13314",0.701,0.73,0.833,0.697,0.784,0.804,0.738,0.743,0.669,0.94,13313,0.763,M,13311.0,20230523
20230523,LLM_VIT,TSS,"13310,13312",0.618,0.644,0.788,0.604,0.761,0.722,0.635,0.621,0.565,0.881,13312,0.683,C,13312.0,20230524
20230523,LLM_VIT,TSS,"13311,13313,13314",0.838,0.826,0.971,0.783,0.928,0.901,0.847,0.921,0.859,0.976,13311,0.885,M,13311.0,20230524
20230524,LLM_VIT,TSS,"13310,13312",0.548,0.553,0.664,0.536,0.677,0.613,0.534,0.468,0.47,0.803,13312,0.586,M,13312.0,20230525
20230524,LLM_VIT,TSS,"13311,13313,13314",0.785,0.788,0.935,0.719,0.901,0.855,0.821,0.883,0.801,0.965,13311,0.845,C,13311.0,20230525
20230525,LLM_VIT,TSS,"13310,13312",0.564,0.565,0.689,0.541,0.696,0.628,0.557,0.493,0.501,0.82,13312,0.605,C,13310.0,20230526
20230525,LLM_VIT,TSS,"13311,13313,13314",0.742,0.729,0.906,0.679,0.863,0.811,0.764,0.829,0.756,0.943,13314,0.802,C,13314.0,20230526
20230525,LLM_VIT,TSS,13315,0.769,0.755,0.924,0.662,0.853,0.787,0.755,0.909,0.822,0.909,13315,0.814,M,13315.0,20230526
20230526,LLM_VIT,TSS,"13310,13312",0.587,0.58,0.762,0.57,0.72,0.675,0.593,0.597,0.557,0.843,13312,0.648,C,13312.0,20230527
20230526,LLM_VIT,TSS,"13311,13313,13314",0.617,0.605,0.768,0.594,0.735,0.698,0.646,0.669,0.623,0.856,13311,0.681,C,13314.0,20230527
20230526,LLM_VIT,TSS,13315,0.863,0.859,0.979,0.757,0.937,0.894,0.861,0.965,0.903,0.971,13315,0.898,C,13315.0,20230527
20230527,LLM_VIT,TSS,"13310,13312",0.632,0.632,0.84,0.619,0.767,0.752,0.663,0.716,0.63,0.885,13310,0.713,N,13312.0,20230528
20230527,LLM_VIT,TSS,"13311,13313,13314",0.649,0.651,0.827,0.646,0.752,0.769,0.691,0.742,0.66,0.886,13313,0.727,C,13314.0,20230528
20230527,LLM_VIT,TSS,13315,0.76,0.808,0.902,0.685,0.851,0.804,0.769,0.856,0.767,0.934,13315,0.813,M,13315.0,20230528
20230528,LLM_VIT,TSS,"13310,13312",0.61,0.627,0.834,0.616,0.749,0.765,0.652,0.726,0.601,0.846,13312,0.702,C,13310.0,20230529
20230528,LLM_VIT,TSS,"13311,13313,13314",0.701,0.711,0.913,0.709,0.821,0.851,0.781,0.872,0.757,0.93,13311,0.804,N,13314.0,20230529
20230528,LLM_VIT,TSS,13315,0.644,0.691,0.787,0.605,0.724,0.691,0.618,0.664,0.603,0.85,13315,0.687,C,13315.0,20230529
20230528,LLM_VIT,TSS,13316,0.3,0.225,0.235,0.261,0.264,0.267,0.248,0.309,0.288,0.22,13316,0.261,N,13316.0,20230529
