T_REC,noaaID,Class,one,MPlus,y_true
20230424,13285.0,C,0.353,0.03456,0
20230429,13291.0,N,0.206,0.0,0
20230430,13292.0,N,0.516,0.0,0
20230430,13291.0,N,0.202,0.002,0
20230507,13299.0,N,0.384,0.0119,0
20230508,13299.0,N,0.257,0.00723,0
20230509,13299.0,C,0.199,0.00183,0
20230523,13311.0,M,0.658,0.008,1
20230526,13315.0,M,0.62,0.09616,1
20230527,13315.0,C,0.746,0.12049,0
20230529,13316.0,N,0.199,0.00243,0
20230530,13316.0,N,0.171,0.0,0
20230603,13323.0,C,0.539,0.0908,0
20230605,13326.0,N,0.272,0.0,0
20230607,13327.0,M,0.586,0.152,1
20230610,13331.0,N,0.323,0.019,0
20230611,13331.0,C,0.299,0.01699,0
20230611,13332.0,N,0.142,0.0,0
20230612,13331.0,C,0.262,0.0135,0
20230612,13332.0,N,0.139,0.0032,0
20230617,13334.0,N,0.159,0.0,0
20230618,13338.0,N,0.348,0.03329,0
20230623,13345.0,N,0.201,0.0,0
20230624,13345.0,N,0.158,0.00363,0
20230626,13351.0,C,0.246,0.002,0
20230627,13348.0,N,0.16,0.001,0
20230627,13351.0,C,0.331,0.0,0
20230630,13355.0,N,0.207,0.00066,0
20230701,13354.0,C,0.955,0.217,0
20230701,13355.0,N,0.19,0.0034,0
20230705,13360.0,C,0.28,0.0,0
20230709,13366.0,C,0.558,0.0,0
20230712,13367.0,N,0.467,0.047,0
20230714,13372.0,C,0.758,0.22413,0
20230715,13372.0,M,0.779,0.0317,1
20230717,13374.0,N,0.225,0.0,0
20230718,13374.0,N,0.17,0.0,0
20230722,13379.0,N,0.572,0.034,0
20230812,13397.0,C,0.235,0.0025,0
20230812,13399.0,N,0.168,0.0055,0
20230818,13408.0,N,0.318,0.0,0
20230821,13412.0,N,0.262,0.003,0
20230822,13412.0,N,0.246,0.0,0
20230825,13415.0,M,0.512,0.10816,1
20230826,13415.0,N,0.486,0.08736,0
20230828,13416.0,C,0.26,0.00366,0
