T_REC,noaaID,Class,one,MPlus,y_true
20230424,13285.0,C,0.475,0.03456,0
20230429,13291.0,N,0.263,0.0,0
20230430,13292.0,N,0.695,0.0,0
20230430,13291.0,N,0.263,0.002,0
20230507,13299.0,N,0.563,0.0119,0
20230508,13299.0,N,0.361,0.00723,0
20230509,13299.0,C,0.267,0.00183,0
20230523,13311.0,M,0.763,0.008,1
20230526,13315.0,M,0.814,0.09616,1
20230527,13315.0,C,0.898,0.12049,0
20230529,13316.0,N,0.261,0.00243,0
20230530,13316.0,N,0.225,0.0,0
20230603,13323.0,C,0.703,0.0908,0
20230605,13326.0,N,0.377,0.0,0
20230607,13327.0,M,0.742,0.152,1
20230610,13331.0,N,0.433,0.019,0
20230611,13331.0,C,0.389,0.01699,0
20230611,13332.0,N,0.187,0.0,0
20230612,13331.0,C,0.336,0.0135,0
20230612,13332.0,N,0.181,0.0032,0
20230617,13334.0,N,0.212,0.0,0
20230618,13338.0,N,0.483,0.03329,0
20230623,13345.0,N,0.268,0.0,0
20230624,13345.0,N,0.209,0.00363,0
20230626,13351.0,C,0.344,0.002,0
20230627,13348.0,N,0.212,0.001,0
20230627,13351.0,C,0.438,0.0,0
20230630,13355.0,N,0.276,0.00066,0
20230701,13354.0,C,0.986,0.217,0
20230701,13355.0,N,0.249,0.0034,0
20230705,13360.0,C,0.382,0.0,0
20230709,13366.0,C,0.694,0.0,0
20230712,13367.0,N,0.652,0.047,0
20230714,13372.0,C,0.876,0.22413,0
20230715,13372.0,M,0.894,0.0317,1
20230717,13374.0,N,0.31,0.0,0
20230718,13374.0,N,0.223,0.0,0
20230722,13379.0,N,0.723,0.034,0
20230812,13397.0,C,0.317,0.0025,0
20230812,13399.0,N,0.228,0.0055,0
20230818,13408.0,N,0.421,0.0,0
20230821,13412.0,N,0.358,0.003,0
20230822,13412.0,N,0.329,0.0,0
20230825,13415.0,M,0.689,0.10816,1
20230826,13415.0,N,0.652,0.08736,0
20230828,13416.0,C,0.362,0.00366,0
20230829,13416.0,N,0.36,0.0,0
20230831,13417.0,N,0.689,0.0217,0
20230902,13418.0,N,0.302,0.0,0
