T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230423,LLM_VIT,TSS,"13276,13279,13281,13283",0.55,0.514,0.754,0.564,0.645,0.693,0.61,0.745,0.63,0.764,13281,0.646,N,13283.0,20230424
20230425,LLM_VIT,TSS,"13285,13286",0.486,0.472,0.487,0.456,0.499,0.481,0.445,0.488,0.46,0.594,13285,0.486,C,13285.0,20230426
20230427,LLM_VIT,TSS,"13285,13286,13288",0.784,0.763,0.944,0.683,0.881,0.817,0.762,0.891,0.813,0.936,13285,0.827,C,13288.0,20230428
20230428,LLM_VIT,TSS,"13285,13286,13288",0.838,0.83,0.964,0.74,0.923,0.88,0.826,0.934,0.853,0.968,13285,0.875,C,13285.0,20230429
20230429,LLM_VIT,TSS,"13285,13286,13288",0.868,0.872,0.978,0.787,0.94,0.922,0.863,0.95,0.872,0.98,13285,0.903,C,13288.0,20230430
20230429,LLM_VIT,TSS,"13289,13292",0.646,0.616,0.802,0.577,0.716,0.721,0.625,0.803,0.666,0.787,13292,0.695,N,13292.0,20230430
20230430,LLM_VIT,TSS,"13285,13286,13288",0.906,0.912,0.993,0.842,0.969,0.96,0.924,0.983,0.93,0.991,13286,0.941,M,13288.0,20230501
20230430,LLM_VIT,TSS,"13289,13292",0.714,0.665,0.89,0.6,0.815,0.766,0.698,0.883,0.757,0.859,13289,0.764,C,13292.0,20230501
20230501,LLM_VIT,TSS,"13285,13286,13288",0.877,0.883,0.989,0.816,0.955,0.951,0.906,0.978,0.914,0.985,13288,0.925,C,13288.0,20230502
20230501,LLM_VIT,TSS,"13289,13292",0.599,0.531,0.739,0.501,0.678,0.619,0.58,0.756,0.639,0.726,13289,0.636,C,13289.0,20230502
20230502,LLM_VIT,TSS,"13289,13292",0.606,0.516,0.773,0.503,0.697,0.632,0.582,0.767,0.66,0.743,13289,0.647,N,13292.0,20230503
20230503,LLM_VIT,TSS,"13293,13296",0.95,0.944,0.998,0.891,0.988,0.98,0.961,0.996,0.978,0.995,13293,0.968,M,13296.0,20230504
20230504,LLM_VIT,TSS,"13289,13292,13295",0.519,0.422,0.716,0.44,0.616,0.596,0.519,0.73,0.583,0.659,13289,0.58,N,13295.0,20230505
20230504,LLM_VIT,TSS,"13293,13296",0.921,0.919,0.995,0.847,0.978,0.963,0.94,0.991,0.957,0.992,13293,0.95,M,13296.0,20230505
20230505,LLM_VIT,TSS,"13293,13296",0.747,0.733,0.909,0.648,0.862,0.799,0.751,0.889,0.777,0.916,13293,0.803,C,13296.0,20230506
20230506,LLM_VIT,TSS,"13293,13296",0.688,0.655,0.854,0.584,0.796,0.724,0.692,0.838,0.724,0.885,13296,0.744,M,13296.0,20230507
20230507,LLM_VIT,TSS,"13293,13296",0.643,0.591,0.78,0.558,0.72,0.662,0.613,0.737,0.664,0.832,13296,0.679,M,13296.0,20230508
20230508,LLM_VIT,TSS,"13293,13296",0.943,0.921,0.997,0.861,0.985,0.971,0.944,0.994,0.971,0.994,13293,0.958,M,13296.0,20230509
20230510,LLM_VIT,TSS,"13293,13296",0.993,0.992,0.999,0.971,0.999,0.998,0.997,0.999,0.998,0.999,13293,0.994,C,13296.0,20230511
20230516,LLM_VIT,TSS,"13301,13302,13305",0.451,0.4,0.398,0.427,0.454,0.428,0.415,0.37,0.412,0.588,13302,0.434,C,13305.0,20230517
20230517,LLM_VIT,TSS,"13301,13302,13305",0.489,0.437,0.504,0.465,0.524,0.497,0.479,0.478,0.482,0.677,13302,0.503,N,13305.0,20230518
20230518,LLM_VIT,TSS,"13301,13302,13305",0.539,0.521,0.604,0.529,0.577,0.604,0.549,0.582,0.536,0.712,13305,0.575,N,13305.0,20230519
20230519,LLM_VIT,TSS,"13301,13302,13305,13308",0.627,0.655,0.783,0.662,0.706,0.775,0.696,0.722,0.628,0.877,13302,0.713,C,13305.0,20230520
20230520,LLM_VIT,TSS,"13310,13312",0.8,0.841,0.974,0.792,0.922,0.934,0.868,0.952,0.84,0.974,13310,0.889,N,13312.0,20230521
20230521,LLM_VIT,TSS,"13310,13312",0.72,0.757,0.925,0.712,0.857,0.868,0.763,0.861,0.722,0.934,13312,0.811,M,13312.0,20230522
