T_REC,noaaID,Class,one,MPlus,y_true
20230426,13285.0,C,0.374,0.0421,0
20230429,13285.0,C,0.737,0.1035,0
20230502,13289.0,C,0.461,0.1016,0
20230511,13296.0,C,0.968,0.2759,0
20230523,13311.0,M,0.658,0.9973,1
20230524,13311.0,M,0.779,0.9922,1
20230525,13311.0,C,0.733,0.7354,0
20230526,13310.0,C,0.512,0.0901,0
20230617,13335.0,C,0.63,0.1728,0
20230618,13338.0,N,0.348,0.1988,0
20230619,13335.0,C,0.515,0.0306,0
20230619,13337.0,C,0.339,0.0927,0
20230620,13338.0,N,0.305,0.049,0
20230623,13335.0,C,0.598,0.035,0
20230624,13335.0,C,0.686,0.0116,0
20230629,13351.0,M,0.862,0.9631,1
20230630,13354.0,C,0.924,0.9966,0
20230701,13354.0,C,0.955,0.1909,0
20230702,13354.0,X,0.969,0.0962,1
20230703,13354.0,C,0.961,0.9958,0
20230705,13357.0,N,0.2,0.1948,0
20230706,13357.0,N,0.201,0.0135,0
20230707,13357.0,N,0.206,0.0034,0
20230707,13359.0,M,0.551,0.1517,1
20230708,13359.0,C,0.491,0.9971,0
20230714,13370.0,C,0.329,0.0014,0
20230719,13371.0,N,0.183,0.0038,0
20230820,13407.0,C,0.424,0.0092,0
20230822,13405.0,M,0.236,0.002,1
20230823,13405.0,C,0.302,0.0022,0
20230824,13405.0,C,0.339,0.0111,0
20230907,13421.0,C,0.405,0.003,0
20230908,13421.0,C,0.415,0.0017,0
20230909,13421.0,C,0.419,0.0066,0
20230909,13425.0,C,0.472,0.0247,0
20230910,13425.0,C,0.453,0.1566,0
20230911,13425.0,C,0.48,0.0695,0
20230912,13425.0,M,0.336,0.0141,1
20230919,13429.0,C,0.297,0.0015,0
20230920,13435.0,M,0.884,0.0026,1
20230921,13435.0,M,0.888,0.0014,1
20230922,13435.0,M,0.862,0.0411,1
20230925,13435.0,C,0.787,0.2441,0
20230925,13445.0,C,0.47,0.0159,0
20230926,13445.0,C,0.412,0.1234,0
20230927,13445.0,N,0.52,0.002,0
20230928,13445.0,C,0.547,0.0204,0
20230929,13445.0,C,0.464,0.1133,0
