T_REC,noaaID,Class,one,MPlus,y_true
20230423,13282.0,C,0.516,0.0364,0
20230423,13284.0,N,0.146,0.15,0
20230424,13284.0,N,0.132,0.0082,0
20230424,13285.0,C,0.353,0.041,0
20230425,13284.0,N,0.111,0.0088,0
20230425,13285.0,N,0.345,0.0315,0
20230426,13284.0,N,0.119,0.0232,0
20230426,13285.0,C,0.374,0.0421,0
20230429,13285.0,C,0.737,0.1035,0
20230429,13291.0,N,0.206,0.0363,0
20230430,13291.0,N,0.202,0.0322,0
20230501,13291.0,C,0.224,0.1977,0
20230502,13289.0,C,0.461,0.1016,0
20230502,13291.0,N,0.224,0.0516,0
20230503,13293.0,M,0.657,0.2853,1
20230505,13294.0,N,0.268,0.0222,0
20230505,13297.0,C,0.518,0.0023,0
20230506,13294.0,N,0.267,0.0047,0
20230506,13297.0,C,0.517,0.2433,0
20230507,13294.0,N,0.227,0.0046,0
20230507,13297.0,C,0.537,0.1052,0
20230507,13299.0,N,0.384,0.2263,0
20230508,13294.0,N,0.215,0.0407,0
20230508,13297.0,C,0.497,0.2195,0
20230508,13299.0,N,0.257,0.0019,0
20230509,13294.0,N,0.195,0.1105,0
20230509,13297.0,N,0.596,0.984,0
20230509,13299.0,C,0.199,0.0699,0
20230511,13296.0,C,0.968,0.2759,0
20230511,13294.0,M,0.266,0.0061,1
20230511,13297.0,N,0.645,0.0027,0
20230517,13304.0,N,0.178,0.002,0
20230518,13307.0,N,0.125,0.017,0
20230519,13307.0,N,0.137,0.0041,0
20230519,13308.0,N,0.264,0.0229,0
20230520,13307.0,N,0.148,0.108,0
20230520,13310.0,N,0.742,0.1956,0
20230523,13311.0,M,0.658,0.9973,1
20230524,13311.0,M,0.779,0.9922,1
20230525,13311.0,C,0.733,0.7354,0
20230526,13310.0,C,0.512,0.0901,0
20230526,13315.0,M,0.62,0.0269,1
20230527,13315.0,C,0.746,0.0237,0
20230528,13315.0,M,0.658,0.0288,1
20230529,13315.0,C,0.548,0.9965,0
20230529,13316.0,N,0.199,0.0574,0
20230530,13315.0,M,0.572,0.1911,1
20230530,13316.0,N,0.171,0.2292,0
20230531,13315.0,C,0.665,0.9972,0
20230531,13316.0,N,0.154,0.0057,0
20230601,13315.0,C,0.627,0.0132,0
20230601,13316.0,N,0.13,0.2021,0
20230601,13319.0,N,0.39,0.997,0
20230602,13316.0,N,0.129,0.0051,0
20230602,13319.0,C,0.411,0.1226,0
20230602,13320.0,N,0.298,0.0024,0
20230602,13321.0,N,0.391,0.0648,0
20230603,13319.0,C,0.448,0.0887,0
20230603,13320.0,N,0.253,0.0165,0
20230603,13321.0,N,0.386,0.0108,0
20230603,13323.0,C,0.539,0.191,0
20230604,13320.0,N,0.236,0.04,0
20230604,13321.0,N,0.359,0.0023,0
20230604,13323.0,C,0.639,0.2327,0
20230605,13320.0,C,0.225,0.0835,0
20230605,13321.0,N,0.327,0.0062,0
20230605,13323.0,C,0.544,0.0177,0
20230605,13325.0,N,0.14,0.0338,0
20230605,13326.0,N,0.272,0.0022,0
20230606,13320.0,N,0.234,0.2714,0
20230606,13321.0,N,0.316,0.003,0
20230606,13323.0,N,0.406,0.2747,0
20230606,13325.0,N,0.151,0.012,0
20230606,13326.0,N,0.411,0.0027,0
20230607,13321.0,N,0.355,0.0909,0
20230607,13323.0,C,0.315,0.2859,0
20230607,13325.0,N,0.17,0.0485,0
20230607,13326.0,N,0.438,0.0164,0
20230607,13327.0,M,0.586,0.0203,1
20230608,13321.0,N,0.376,0.0182,0
20230608,13323.0,N,0.297,0.0346,0
20230608,13327.0,C,0.605,0.9792,0
20230609,13321.0,C,0.389,0.0014,0
20230609,13323.0,C,0.32,0.0019,0
20230609,13327.0,C,0.716,0.0357,0
20230610,13323.0,C,0.303,0.2446,0
20230610,13327.0,C,0.63,0.1417,0
20230610,13331.0,N,0.323,0.9902,0
20230611,13327.0,C,0.562,0.21,0
20230611,13331.0,C,0.299,0.0143,0
20230611,13332.0,N,0.142,0.0528,0
20230612,13327.0,C,0.55,0.1318,0
20230612,13331.0,C,0.262,0.0066,0
20230612,13332.0,N,0.139,0.0028,0
20230615,13331.0,N,0.359,0.0021,0
20230616,13331.0,M,0.292,0.0019,1
20230616,13333.0,N,0.31,0.0676,0
20230617,13331.0,C,0.297,0.6255,0
20230617,13333.0,C,0.283,0.1771,0
20230617,13334.0,N,0.159,0.0942,0
20230617,13335.0,C,0.63,0.1728,0
20230618,13333.0,N,0.323,0.1758,0
20230618,13338.0,N,0.348,0.1988,0
20230619,13333.0,N,0.277,0.0017,0
20230619,13335.0,C,0.515,0.0306,0
20230619,13337.0,C,0.339,0.0927,0
20230620,13333.0,N,0.302,0.0489,0
20230620,13338.0,N,0.305,0.049,0
20230620,13339.0,N,0.337,0.0034,0
20230621,13333.0,N,0.329,0.2815,0
20230621,13339.0,C,0.325,0.0447,0
20230621,13340.0,N,0.448,0.0078,0
20230622,13333.0,N,0.288,0.0021,0
20230622,13339.0,C,0.32,0.0072,0
20230622,13340.0,C,0.49,0.0016,0
20230623,13335.0,C,0.598,0.035,0
20230623,13339.0,N,0.294,0.1255,0
20230623,13340.0,C,0.385,0.654,0
20230623,13341.0,C,0.53,0.6607,0
20230623,13345.0,N,0.201,0.0039,0
20230624,13335.0,C,0.686,0.0116,0
20230624,13339.0,C,0.255,0.2519,0
20230624,13340.0,C,0.331,0.2962,0
20230624,13341.0,C,0.403,0.074,0
20230624,13345.0,N,0.158,0.0057,0
20230625,13339.0,C,0.275,0.183,0
20230625,13340.0,C,0.354,0.1784,0
20230625,13341.0,C,0.328,0.0282,0
20230625,13345.0,N,0.17,0.0098,0
20230625,13346.0,C,0.201,0.2159,0
20230626,13340.0,M,0.63,0.0537,1
20230626,13341.0,C,0.301,0.0602,0
20230626,13345.0,N,0.147,0.0012,0
20230626,13346.0,N,0.191,0.0017,0
20230626,13347.0,N,0.135,0.0036,0
20230626,13349.0,N,0.179,0.0033,0
20230626,13351.0,C,0.246,0.1959,0
20230627,13340.0,C,0.693,0.9185,0
20230627,13341.0,N,0.24,0.2164,0
20230627,13345.0,N,0.126,0.1357,0
20230627,13348.0,N,0.16,0.2445,0
20230627,13351.0,C,0.331,0.1495,0
20230628,13340.0,M,0.541,0.827,1
20230628,13341.0,N,0.252,0.2262,0
20230628,13345.0,N,0.116,0.192,0
20230628,13348.0,N,0.211,0.1496,0
20230629,13341.0,N,0.276,0.0033,0
20230629,13345.0,C,0.143,0.0213,0
20230629,13348.0,C,0.162,0.2757,0
20230629,13351.0,M,0.862,0.9631,1
20230630,13354.0,C,0.924,0.9966,0
20230630,13355.0,N,0.207,0.0077,0
20230701,13354.0,C,0.955,0.1909,0
20230701,13355.0,N,0.19,0.0072,0
20230702,13354.0,X,0.969,0.0962,1
20230702,13355.0,N,0.138,0.0075,0
20230703,13354.0,C,0.961,0.9958,0
20230703,13355.0,N,0.165,0.02,0
20230705,13357.0,N,0.2,0.1948,0
20230705,13360.0,C,0.28,0.0208,0
20230706,13357.0,N,0.201,0.0135,0
20230706,13360.0,C,0.223,0.1499,0
20230707,13357.0,N,0.206,0.0034,0
20230707,13359.0,M,0.551,0.1517,1
20230707,13360.0,C,0.229,0.2056,0
20230707,13361.0,C,0.359,0.1606,0
20230708,13359.0,C,0.491,0.9971,0
20230708,13360.0,N,0.214,0.0155,0
20230708,13361.0,C,0.365,0.1277,0
20230708,13362.0,N,0.219,0.0026,0
20230709,13360.0,N,0.155,0.0023,0
20230709,13361.0,C,0.415,0.0134,0
20230709,13362.0,N,0.166,0.0091,0
20230709,13363.0,C,0.969,0.1096,0
20230709,13364.0,N,0.139,0.0203,0
20230710,13360.0,N,0.272,0.0024,0
20230710,13361.0,C,0.408,0.0915,0
20230710,13362.0,N,0.132,0.1351,0
20230710,13363.0,C,0.964,0.1803,0
20230710,13364.0,N,0.119,0.0158,0
20230711,13360.0,N,0.322,0.0139,0
20230711,13361.0,C,0.406,0.204,0
20230711,13362.0,N,0.16,0.7101,0
20230711,13363.0,C,0.96,0.2502,0
20230711,13364.0,N,0.134,0.0161,0
20230711,13367.0,N,0.439,0.1917,0
20230712,13361.0,M,0.457,0.245,1
20230712,13362.0,N,0.147,0.2742,0
20230712,13363.0,N,0.958,0.0317,0
20230712,13364.0,C,0.144,0.01,0
20230712,13367.0,N,0.467,0.0019,0
20230714,13362.0,N,0.117,0.1354,0
20230714,13363.0,M,0.971,0.1761,1
20230714,13364.0,N,0.143,0.0099,0
20230714,13367.0,N,0.518,0.0965,0
20230714,13370.0,C,0.329,0.0014,0
20230714,13372.0,C,0.758,0.6901,0
20230715,13362.0,N,0.113,0.0051,0
20230715,13363.0,M,0.934,0.997,1
20230715,13372.0,M,0.779,0.0122,1
20230716,13363.0,M,0.976,0.9865,1
20230716,13372.0,M,0.682,0.6523,1
20230717,13363.0,M,0.981,0.9971,1
20230717,13372.0,C,0.67,0.9955,0
20230717,13373.0,C,0.555,0.2526,0
20230717,13374.0,N,0.225,0.1718,0
20230718,13372.0,C,0.498,0.0187,0
20230718,13373.0,C,0.649,0.2029,0
20230718,13374.0,N,0.17,0.0264,0
20230719,13371.0,N,0.183,0.0038,0
20230719,13372.0,C,0.441,0.7536,0
20230719,13373.0,N,0.735,0.0153,0
20230719,13374.0,N,0.223,0.0285,0
20230722,13372.0,M,0.492,0.0011,1
20230722,13373.0,M,0.755,0.023,1
20230722,13376.0,N,0.342,0.0017,0
20230722,13377.0,N,0.335,0.0937,0
20230722,13379.0,N,0.572,0.1544,0
20230725,13376.0,M,0.499,0.0017,1
20230725,13377.0,N,0.369,0.0019,0
20230725,13379.0,N,0.406,0.0018,0
20230816,13397.0,N,0.274,0.002,0
20230816,13403.0,C,0.399,0.0266,0
20230817,13403.0,N,0.498,0.0223,0
20230817,13404.0,N,0.256,0.0139,0
20230817,13405.0,C,0.455,0.0021,0
20230818,13404.0,N,0.202,0.0121,0
20230818,13405.0,C,0.404,0.0038,0
20230819,13404.0,N,0.167,0.1746,0
20230820,13404.0,N,0.155,0.084,0
20230820,13407.0,C,0.424,0.0092,0
20230821,13404.0,N,0.162,0.0073,0
20230821,13412.0,N,0.262,0.0085,0
20230822,13404.0,N,0.206,0.0065,0
20230822,13405.0,M,0.236,0.002,1
20230822,13412.0,N,0.246,0.0023,0
20230823,13404.0,N,0.238,0.0469,0
20230823,13405.0,C,0.302,0.0022,0
20230823,13412.0,N,0.215,0.0034,0
20230824,13405.0,C,0.339,0.0111,0
20230824,13412.0,N,0.151,0.0812,0
20230824,13413.0,C,0.583,0.0017,0
20230824,13414.0,N,0.111,0.0361,0
20230825,13412.0,N,0.158,0.1655,0
20230825,13413.0,N,0.571,0.0104,0
20230825,13415.0,M,0.512,0.0613,1
20230826,13412.0,N,0.199,0.0026,0
20230826,13413.0,C,0.523,0.002,0
20230826,13415.0,N,0.486,0.0017,0
20230827,13412.0,N,0.201,0.1682,0
20230827,13413.0,N,0.391,0.0006,0
20230827,13415.0,N,0.503,0.0836,0
20230828,13412.0,N,0.235,0.0095,0
20230828,13413.0,N,0.417,0.0019,0
20230828,13415.0,N,0.483,0.0144,0
20230828,13416.0,C,0.26,0.0037,0
20230829,13412.0,N,0.237,0.2561,0
20230829,13413.0,C,0.476,0.0052,0
20230829,13415.0,N,0.425,0.0386,0
20230829,13416.0,N,0.26,0.0056,0
20230830,13413.0,C,0.633,0.0011,0
20230830,13415.0,C,0.405,0.1474,0
20230830,13416.0,N,0.189,0.002,0
20230831,13413.0,C,0.752,0.0438,0
20230831,13415.0,N,0.374,0.0017,0
20230831,13416.0,N,0.166,0.0528,0
20230831,13417.0,N,0.496,0.0018,0
20230901,13415.0,N,0.427,0.0019,0
20230901,13416.0,N,0.144,0.0029,0
20230901,13417.0,N,0.402,0.0016,0
20230902,13415.0,N,0.397,0.0016,0
20230902,13416.0,N,0.134,0.0062,0
20230902,13417.0,N,0.327,0.0017,0
20230902,13418.0,N,0.219,0.1308,0
20230903,13417.0,C,0.285,0.0009,0
20230903,13418.0,N,0.159,0.1262,0
20230904,13417.0,N,0.24,0.0014,0
20230904,13418.0,C,0.25,0.0794,0
20230905,13417.0,N,0.22,0.002,0
20230906,13417.0,C,0.239,0.0167,0
20230906,13420.0,N,0.197,0.0582,0
20230907,13417.0,C,0.284,0.0121,0
20230907,13421.0,C,0.405,0.003,0
20230907,13420.0,N,0.156,0.0846,0
20230907,13423.0,C,0.439,0.0016,0
20230908,13421.0,C,0.415,0.0017,0
20230908,13423.0,C,0.44,0.0019,0
20230908,13424.0,N,0.193,0.0079,0
20230909,13421.0,C,0.419,0.0066,0
20230909,13423.0,C,0.361,0.0054,0
20230909,13425.0,C,0.472,0.0247,0
20230910,13423.0,C,0.373,0.028,0
20230910,13425.0,C,0.453,0.1566,0
20230911,13423.0,C,0.386,0.0293,0
20230911,13425.0,C,0.48,0.0695,0
20230912,13423.0,M,0.489,0.1425,1
20230912,13425.0,M,0.336,0.0141,1
20230912,13427.0,N,0.217,0.012,0
20230913,13430.0,N,0.227,0.0835,0
20230913,13431.0,N,0.416,0.0013,0
20230914,13430.0,N,0.29,0.0364,0
20230914,13431.0,N,0.258,0.001,0
20230915,13429.0,M,0.586,0.6963,1
20230915,13430.0,N,0.263,0.0585,0
20230915,13431.0,N,0.201,0.0715,0
20230915,13433.0,C,0.311,0.0011,0
20230916,13429.0,M,0.537,0.6647,1
20230916,13430.0,N,0.271,0.0019,0
20230916,13433.0,N,0.285,0.0039,0
20230917,13433.0,N,0.236,0.0083,0
20230919,13429.0,C,0.297,0.0015,0
20230919,13433.0,N,0.205,0.1957,0
20230920,13433.0,N,0.19,0.0006,0
20230920,13435.0,M,0.884,0.0026,1
20230920,13436.0,N,0.398,0.0029,0
20230921,13433.0,N,0.258,0.002,0
20230921,13435.0,M,0.888,0.0014,1
20230921,13437.0,N,0.428,0.0014,0
20230921,13439.0,N,0.302,0.0014,0
20230921,13440.0,N,0.276,0.0015,0
20230922,13433.0,N,0.272,0.0011,0
20230922,13435.0,M,0.862,0.0411,1
20230922,13437.0,C,0.337,0.0013,0
20230922,13439.0,N,0.274,0.0016,0
20230922,13440.0,N,0.294,0.0099,0
20230922,13441.0,N,0.339,0.0323,0
20230923,13439.0,N,0.237,0.0017,0
20230923,13441.0,N,0.296,0.002,0
20230923,13442.0,N,0.574,0.0282,0
20230924,13439.0,N,0.204,0.1587,0
20230924,13441.0,N,0.348,0.0152,0
20230924,13443.0,M,0.486,0.1506,1
20230925,13435.0,C,0.787,0.2441,0
20230925,13439.0,N,0.156,0.278,0
20230925,13445.0,C,0.47,0.0159,0
20230925,13446.0,N,0.127,0.0022,0
20230926,13439.0,N,0.164,0.1299,0
20230926,13445.0,C,0.412,0.1234,0
20230927,13445.0,N,0.52,0.002,0
20230928,13445.0,C,0.547,0.0204,0
20230928,13447.0,N,0.358,0.0115,0
20230928,13448.0,N,0.373,0.0015,0
20230929,13445.0,C,0.464,0.1133,0
20230929,13447.0,N,0.279,0.0027,0
20230929,13448.0,N,0.348,0.0063,0
20230929,13449.0,C,0.251,0.001,0
20230930,13447.0,N,0.303,0.0043,0
20230930,13449.0,N,0.227,0.0715,0
20230930,13450.0,C,0.514,0.0726,0
20231001,13447.0,N,0.335,0.0008,0
20231001,13450.0,C,0.645,0.0402,0
20231002,13450.0,C,0.681,0.006,0
20231003,13450.0,C,0.515,0.0076,0
20231004,13450.0,C,0.422,0.1782,0
20231004,13452.0,C,0.52,0.2036,0
20231004,13454.0,N,0.251,0.0019,0
20231006,13450.0,C,0.305,0.2739,0
20231006,13452.0,C,0.511,0.0376,0
20231006,13454.0,N,0.269,0.0015,0
20231007,13450.0,C,0.308,0.0039,0
20231007,13452.0,C,0.496,0.005,0
20231007,13454.0,C,0.256,0.2751,0
20231007,13457.0,N,0.18,0.0266,0
20231008,13454.0,N,0.247,0.1724,0
20231008,13457.0,N,0.169,0.1732,0
20231009,13454.0,N,0.224,0.0557,0
20231009,13457.0,N,0.192,0.0721,0
