id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X
ac8f50ee-e3bd-47a2-bcce-780c24382ac8,13180,19,-56.0,True,AMOS_v1,2023/1/1 0:00,2023/1/2 0:00,2023/1/1 0:30,0.253199995,0.0317,,,0.0012
f1649d56-a97b-41e8-a801-4605372bea78,13180,19,-56.0,True,ASAP_1,2023/1/1 0:00,2023/1/2 0:00,2023/1/1 0:00,,0.325000003,0.495999992,0.223000005,0.101999998
403d2f41-fe44-47e8-b042-dcaf719d16de,13180,19,-56.0,True,MAG4_LOS_FEr,2023/1/1 0:00,2023/1/2 0:00,2023/1/1 0:00,,0.07,,0.059,0.012
a600eefd-a27c-4a58-af93-3a55cb3a8a1a,13180,19,-56.0,True,MAG4_LOS_r,2023/1/1 0:00,2023/1/2 0:00,2023/1/1 0:00,,0.057,,0.050999999,0.007
9155e0b0-ab50-4679-8f46-871c798573be,13180,19,-56.0,True,NOAA_1,2023/1/1 0:00,2023/1/2 0:00,2022/12/31 22:00,,0.21000000300000002,0.550000012,0.200000003,0.01
c1f71225-ccac-4da9-ba8f-4341882bae7d,13180,19,-43.0,True,MAG4_LOS_FEr,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:00,,0.057999998,,0.048999999,0.01
0312d69e-c421-4b70-904e-a81f092ab1f4,13180,19,-43.0,True,MAG4_LOS_r,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:00,,0.048,,0.043000001,0.005
ab60347c-a5f5-48e9-bdfe-e4c1e3e6c2b1,13181,-19,-71.0,True,AMOS_v1,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:30,0.068300001,0.0034,,,0.0
a18f19d8-7ea1-4eac-a422-2860d7d914f9,13181,-19,-71.0,True,ASAP_1,2023/1/2 0:00,2023/1/3 0:00,2023/1/2 0:00,,0.038899999,0.200000003,0.038899999,0.0
2b6673c4-e808-456c-b9cd-352b2f3a476a,13181,-19,-71.0,True,NOAA_1,2023/1/2 0:00,2023/1/3 0:00,2023/1/1 22:00,,0.02,0.100000001,0.01,0.01
64cecb05-8dd7-4da3-8245-0d0acca3ae8e,13181,-19,-58.0,True,AMOS_v1,2023/1/3 0:00,2023/1/4 0:00,2023/1/3 0:30,0.068300001,0.0034,,,0.0
e042d528-6dd6-4f04-b1bf-ac958e58f234,13181,-19,-58.0,True,ASAP_1,2023/1/3 0:00,2023/1/4 0:00,2023/1/3 0:00,,0.064599998,0.31099999,0.064599998,0.0
673960bd-93f1-4e18-aec7-af9c7588117c,13181,-19,-58.0,True,MAG4_LOS_FEr,2023/1/3 0:00,2023/1/4 0:00,2023/1/3 0:00,,0.011,,0.009,0.002
4e0b5873-77a3-4956-a9bf-22293ddf9c45,13181,-19,-58.0,True,MAG4_LOS_r,2023/1/3 0:00,2023/1/4 0:00,2023/1/3 0:00,,0.009,,0.008,0.001
a286d9af-fcdd-4184-8e97-e00b29c3db24,13181,-19,-58.0,True,NOAA_1,2023/1/3 0:00,2023/1/4 0:00,2023/1/2 22:00,,0.02,0.100000001,0.01,0.01
b628c2b5-c011-42ed-a34a-a2f8257a4de5,13181,-19,-44.0,True,AMOS_v1,2023/1/4 0:00,2023/1/5 0:00,2023/1/4 0:30,0.0407,0.0,,,0.0
110a1d1b-1b38-490a-b81a-66d812c31e56,13181,-19,-44.0,True,ASAP_1,2023/1/4 0:00,2023/1/5 0:00,2023/1/4 0:00,,0.038899999,0.200000003,0.038899999,0.0
5e58926f-845e-455a-8d62-e8cc256a10e1,13181,-19,-44.0,True,MAG4_LOS_FEr,2023/1/4 0:00,2023/1/5 0:00,2023/1/4 0:00,,0.006,,0.005,0.001
21a20848-1c17-41cd-b67c-3110e60035aa,13181,-19,-44.0,True,MAG4_LOS_r,2023/1/4 0:00,2023/1/5 0:00,2023/1/4 0:00,,0.005,,0.005,0.0
3a7cbb7b-d4b7-4dd0-85a7-92e50258012c,13181,-19,-44.0,True,NOAA_1,2023/1/4 0:00,2023/1/5 0:00,2023/1/3 22:00,,0.02,0.100000001,0.01,0.01
5c3cd7ca-48af-4477-bcc8-0738a0cd2b48,13181,-19,-30.0,True,AMOS_v1,2023/1/5 0:00,2023/1/6 0:00,2023/1/5 0:30,0.100900002,0.0109,,,0.0009
e6d7101f-44b4-422f-8938-83323f749444,13181,-19,-30.0,True,ASAP_1,2023/1/5 0:00,2023/1/6 0:00,2023/1/5 0:00,,0.065499999,0.314999998,0.065499999,0.0
d7caa04d-9d26-4730-987d-172d88de8637,13181,-19,-30.0,True,MAG4_LOS_FEr,2023/1/5 0:00,2023/1/6 0:00,2023/1/5 0:00,,0.02,,0.017000001,0.003
f5abaf0a-21db-46b5-b851-9a360db8c0e3,13181,-19,-30.0,True,MAG4_LOS_r,2023/1/5 0:00,2023/1/6 0:00,2023/1/5 0:00,,0.016000001,,0.015,0.001
195911c9-81cb-44d2-9c29-444a4833ee25,13181,-19,-30.0,True,NOAA_1,2023/1/5 0:00,2023/1/6 0:00,2023/1/4 22:00,,0.02,0.150000006,0.01,0.01
34fe91e9-f05a-40d2-be11-219e56a729aa,13183,-17,8.0,True,AMOS_v1,2023/1/6 0:00,2023/1/7 0:00,2023/1/6 0:30,0.071800001,0.0053,,,0.0
e5b4845f-9fc6-4eb6-a852-851c8196d1a1,13183,-17,8.0,True,ASAP_1,2023/1/6 0:00,2023/1/7 0:00,2023/1/6 0:00,,0.058600001,0.300000012,0.058600001,0.0
e6d3e8a4-5491-4273-8e96-e2b5456b6e47,13183,-17,8.0,True,MAG4_LOS_FEr,2023/1/6 0:00,2023/1/7 0:00,2023/1/6 0:00,,0.009,,0.008,0.001
0b6ca1f2-48a7-4d7d-89b8-58ae4fd8ef4a,13183,-17,8.0,True,MAG4_LOS_r,2023/1/6 0:00,2023/1/7 0:00,2023/1/6 0:00,,0.007,,0.006,0.001
ca1ec741-561f-4f29-88f8-9610f84d4f54,13183,-17,8.0,True,NOAA_1,2023/1/6 0:00,2023/1/7 0:00,2023/1/5 22:00,,0.02,0.150000006,0.01,0.01
87abf455-4eaf-4b2e-9d60-168d71703d02,13183,-17,22.0,True,AMOS_v1,2023/1/7 0:00,2023/1/8 0:00,2023/1/7 0:30,0.462399989,0.066600002,,,0.0
ceaccd8f-847e-46f0-9f9d-7fc23d1f51c9,13183,-17,22.0,True,ASAP_1,2023/1/7 0:00,2023/1/8 0:00,2023/1/7 0:00,,0.066100001,0.317999989,0.066100001,0.0
59177abf-3e28-4623-9128-dd1b6e1a7e17,13183,-17,22.0,True,MAG4_LOS_FEr,2023/1/7 0:00,2023/1/8 0:00,2023/1/7 0:00,,0.074000001,,0.063000001,0.012
ad98f8ac-ebd1-4551-ac38-6a1bfa954ef7,13183,-17,22.0,True,MAG4_LOS_r,2023/1/7 0:00,2023/1/8 0:00,2023/1/7 0:00,,0.061000001,,0.054000001,0.007
b8cee0c2-e702-4204-8650-58042c299a05,13183,-17,22.0,True,NOAA_1,2023/1/7 0:00,2023/1/8 0:00,2023/1/6 22:00,,0.110000001,0.400000006,0.100000001,0.01
aaa23ec5-24a4-460a-a234-90a6a8808a6e,13183,-17,36.0,True,AMOS_v1,2023/1/8 0:00,2023/1/9 0:00,2023/1/8 0:30,0.180700004,0.0199,,,0.0
49174877-8f0f-4da5-8e7e-f0ae20a7cb54,13183,-17,36.0,True,ASAP_1,2023/1/8 0:00,2023/1/9 0:00,2023/1/8 0:00,,0.549999997,0.546000004,0.338,0.211999997
0ea991c3-19ea-46fe-8b24-b88af1398b02,13183,-17,36.0,True,MAG4_LOS_FEr,2023/1/8 0:00,2023/1/9 0:00,2023/1/8 0:00,,0.037,,0.030999999,0.006
eb45b79c-e187-4613-8878-dc0dbdccc06b,13183,-17,36.0,True,MAG4_LOS_r,2023/1/8 0:00,2023/1/9 0:00,2023/1/8 0:00,,0.030999999,,0.028000001,0.003
81e08bf9-12b9-4dbb-92d8-128f767154ba,13183,-17,36.0,True,NOAA_1,2023/1/8 0:00,2023/1/9 0:00,2023/1/7 22:00,,0.110000001,0.349999994,0.100000001,0.01
6f39bc37-cfe5-4b76-9206-5d1bfae977b7,13183,-17,49.0,True,MAG4_LOS_FEr,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:00,,0.026000001,,0.022,0.004
24baab33-44c1-4a99-a990-2262b700f29d,13183,-17,49.0,True,MAG4_LOS_r,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:00,,0.021,,0.018999999,0.002
eb871f54-52e6-48a3-a5c5-2368f9774313,13184,-13,-81.0,True,AMOS_v1,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:30,0.249599993,0.0239,,,0.0
6a6239c9-fbe0-4d90-b497-6d1ad48166e5,13184,-13,-81.0,True,ASAP_1,2023/1/9 0:00,2023/1/10 0:00,2023/1/9 0:00,,0.0123,0.100000001,0.0123,0.0
85784fd9-b90e-4aec-8b2c-d07f7927eb80,13184,-13,-81.0,True,NOAA_1,2023/1/9 0:00,2023/1/10 0:00,2023/1/8 22:00,,0.750000015,0.899999976,0.550000012,0.200000003
c46cebbc-4f41-4d90-807e-f2dda38a7c31,13184,-13,-26.0,True,MAG4_LOS_FEr,2023/1/13 0:00,2023/1/14 0:00,2023/1/13 0:00,,0.071000002,,0.059999999,0.012
27180045-c9ca-4bb9-8ed8-1a50ad98bab9,13184,-13,-26.0,True,MAG4_LOS_r,2023/1/13 0:00,2023/1/14 0:00,2023/1/13 0:00,,0.057999998,,0.052000001,0.007
733f42ba-d075-484a-8a60-f2ca3f185ddd,13185,20,0.0,True,AMOS_v1,2023/1/10 0:00,2023/1/11 0:00,2023/1/10 0:30,0.071800001,0.0053,,,0.0
911711b8-b069-4a45-8f5d-a94480bda45f,13185,20,0.0,True,MAG4_LOS_FEr,2023/1/10 0:00,2023/1/11 0:00,2023/1/10 0:00,,0.001,,0.001,0.0
